TradingDay,fund_code,prev_close,open_price,high_price,low_price,close_price,avg_price,change_of_price,change_pct,turnover_rate,turnover_volume,turnover_value,vibration_range,discount,discount_ratio,fund_return
2020-12-28,510300,5.116,5.112,5.16,5.103,5.13,5.1257,0.014,0.2737,5.3155,44713.0014,2291869850.0,1.1142,0.0049,0.095425,0.002737
2020-12-29,510300,5.13,5.138,5.152,5.106,5.114,5.1242,-0.016,-0.3119,4.0655,34271.79,1756155512.0,0.8967,-0.0004,-0.007822,-0.0031190000000000002
2020-12-30,510300,5.114,5.11,5.18,5.107,5.178,5.1568,0.064,1.2515,4.0296,34067.1518,1756760313.0,1.4275,0.0072,0.138857,0.012515
2020-12-31,510300,5.178,5.188,5.293,5.186,5.287,5.2579,0.109,2.1051,9.9543,86179.9157,4531294876.0,2.0664,-0.0028,-0.052988,0.021051
2021-01-04,510300,5.287,5.28,5.366,5.26,5.334,5.323,0.047,0.889,5.8613,50670.5639,2697192786.0,2.0049,0.0072,0.134801,0.00889
2021-01-05,510300,5.334,5.321,5.445,5.305,5.433,5.3785,0.099,1.856,7.4272,62283.0794,3349890567.0,2.6247,0.0093,0.170884,0.01856
2021-01-06,510300,5.433,5.447,5.514,5.417,5.482,5.4647,0.049,0.9019,4.4794,37494.5107,2048972312.0,1.7854,0.0097,0.17663,0.009019000000000001
2021-01-07,510300,5.482,5.49,5.6,5.483,5.599,5.5338,0.117,2.1343,5.5418,47065.9227,2604546537.0,2.1343,-0.0108,-0.193264,0.021343
2021-01-08,510300,5.599,5.608,5.631,5.519,5.571,5.5684,-0.028,-0.5001,7.8843,69756.4767,3884322786.0,2.0004,-0.0005,-0.008976,-0.005001
2021-01-11,510300,5.571,5.572,5.62,5.477,5.508,5.5615,-0.063,-1.1309,7.3496,63596.5163,3536919284.0,2.5669,0.0074,0.13417,-0.011309
2021-01-12,510300,5.508,5.496,5.672,5.492,5.668,5.5802,0.16,2.9049,7.0128,59628.0782,3327361996.0,3.268,0.0036,0.063474,0.029049000000000002
2021-01-13,510300,5.668,5.684,5.715,5.61,5.646,5.6656,-0.022,-0.3881,6.5033,55243.4398,3129878571.0,1.8525,0.0074,0.130895,-0.003881
2021-01-14,510300,5.646,5.646,5.646,5.538,5.543,5.5826,-0.103,-1.8243,7.8696,69604.7994,3885747946.0,1.9129,0.0024,0.043279,-0.018243
2021-01-15,510300,5.543,5.543,5.576,5.46,5.526,5.5243,-0.017,-0.3067,8.0346,70904.9177,3916989378.0,2.0927,0.0064,0.115682,-0.003067
2021-01-18,510300,5.454,5.451,5.547,5.415,5.513,5.4855,0.059,1.0818,4.5038,39676.8553,2176480901.0,2.4202,0.0076,0.137666,0.010818000000000001
2021-01-19,510300,5.513,5.518,5.53,5.416,5.438,5.4731,-0.075,-1.3604,4.7681,41700.9672,2282323327.0,2.0678,0.0013,0.0239,-0.013604
2021-01-20,510300,5.438,5.436,5.495,5.43,5.468,5.4636,0.03,0.5517,4.8732,42238.5751,2307751582.0,1.1953,0.0101,0.18437,0.005516999999999999
2021-01-21,510300,5.468,5.483,5.588,5.483,5.562,5.5379,0.094,1.7191,5.9892,51162.0315,2833318057.0,1.9203,0.0047,0.084431,0.017191
2021-01-22,510300,5.562,5.557,5.57,5.506,5.565,5.5465,0.003,0.0539,6.7212,55430.9326,3074483608.0,1.1507,0.0061,0.109494,0.000539
2021-01-25,510300,5.565,5.564,5.649,5.531,5.631,5.5953,0.066,1.186,5.635,45017.7153,2518875353.0,2.1204,-0.0044,-0.0782,0.011859999999999999
2021-01-26,510300,5.631,5.607,5.61,5.503,5.511,5.5399,-0.12,-2.1311,4.8957,39274.4995,2175771665.0,1.9002,0.0035,0.063469,-0.021311
2021-01-27,510300,5.511,5.505,5.532,5.45,5.521,5.4984,0.01,0.1815,7.2839,59154.1591,3252544454.0,1.4879,0.0078,0.141079,0.001815
2021-01-28,510300,5.521,5.46,5.46,5.364,5.385,5.4089,-0.136,-2.4633,5.7428,46995.1845,2541914763.0,1.7388,-0.0062,-0.115267,-0.024633
2021-01-29,510300,5.385,5.407,5.423,5.282,5.348,5.374,-0.037,-0.6871,7.4523,62211.3874,3343269149.0,2.6184,0.0047,0.087806,-0.006871
2021-02-01,510300,5.348,5.348,5.414,5.346,5.411,5.3919,0.063,1.178,5.3262,43628.8063,2352426025.0,1.2715,0.0076,0.140258,0.011779999999999999
2021-02-02,510300,5.411,5.42,5.494,5.411,5.491,5.4665,0.08,1.4785,7.367,57315.6921,3133181944.0,1.5339,0.0103,0.187228,0.014785
2021-02-03,510300,5.491,5.491,5.525,5.464,5.485,5.4942,-0.006,-0.1093,3.6878,28196.9488,1549207312.0,1.1109,0.0012,0.021873,-0.001093
2021-02-04,510300,5.485,5.46,5.51,5.416,5.474,5.4631,-0.011,-0.2005,3.8593,30008.415,1639395452.0,1.7138,0.0016,0.029221,-0.0020050000000000003
2021-02-05,510300,5.474,5.486,5.547,5.476,5.482,5.5095,0.008,0.1461,7.3544,56000.0491,3085296672.0,1.297,0.0032,0.058339,0.001461
2021-02-08,510300,5.482,5.52,5.573,5.482,5.554,5.5327,0.072,1.3134,6.2672,47501.3428,2628084266.0,1.66,0.0113,0.203044,0.013134
2021-02-09,510300,5.554,5.575,5.694,5.55,5.692,5.6169,0.138,2.4847,5.6102,41829.9845,2349537935.0,2.5927,-0.0051,-0.08968,0.024847
2021-02-10,510300,5.692,5.706,5.833,5.697,5.807,5.7734,0.115,2.0204,4.545,34190.9857,1973984357.0,2.3893,0.002,0.034429,0.020204
2021-02-18,510300,5.807,5.923,5.933,5.748,5.764,5.8359,-0.043,-0.7405,6.1614,47076.5736,2747359954.0,3.1858,0.0046,0.079742,-0.007405
2021-02-19,510300,5.764,5.742,5.801,5.671,5.796,5.7259,0.032,0.5552,9.1339,70906.465,4060011755.0,2.2554,-0.0171,-0.295904,0.0055520000000000005
2021-02-22,510300,5.796,5.785,5.786,5.584,5.589,5.6688,-0.207,-3.5714,9.7243,77607.5991,4399449170.0,3.4852,0.0095,0.169688,-0.035714
2021-02-23,510300,5.589,5.55,5.637,5.547,5.574,5.5961,-0.015,-0.2684,7.3299,59125.0364,3308715193.0,1.6103,0.0063,0.112897,-0.002684
2021-02-24,510300,5.574,5.588,5.6,5.371,5.427,5.4775,-0.147,-2.6372,12.1743,101126.9033,5539235696.0,4.1084,0.0112,0.20595,-0.026372
2021-02-25,510300,5.427,5.481,5.523,5.442,5.478,5.4834,0.051,0.9397,8.4436,66930.5438,3670095572.0,1.4925,-0.0075,-0.137099,0.009396999999999999
2021-02-26,510300,5.478,5.389,5.42,5.321,5.329,5.3594,-0.149,-2.72,10.3809,83707.0336,4486159733.0,1.8072,0.0094,0.176083,-0.027200000000000002
2021-03-01,510300,5.329,5.381,5.42,5.348,5.418,5.3887,0.089,1.6701,7.1508,55820.854,3007992810.0,1.3511,0.0011,0.020299,0.016701
2021-03-02,510300,5.418,5.446,5.451,5.307,5.349,5.3892,-0.069,-1.2735,5.6478,43385.9754,2338148827.0,2.6578,0.0005,0.009347,-0.012735000000000002
2021-03-03,510300,5.349,5.333,5.458,5.316,5.454,5.4,0.105,1.963,4.6799,36115.4593,1950248200.0,2.6547,-0.002,-0.036684,0.01963
2021-03-04,510300,5.454,5.4,5.4,5.258,5.287,5.3153,-0.167,-3.062,8.0817,64498.1648,3428246550.0,2.6036,-0.0056,-0.106032,-0.030619999999999998
2021-03-05,510300,5.287,5.202,5.311,5.179,5.266,5.2413,-0.021,-0.3972,7.2059,59363.285,3111411979.0,2.4967,-0.0016,-0.030393,-0.003972
2021-03-08,510300,5.266,5.3,5.325,5.07,5.08,5.1958,-0.186,-3.5321,6.8578,56372.2005,2929014217.0,4.8424,0.0015,0.029519,-0.035321
2021-03-09,510300,5.08,5.077,5.095,4.926,4.979,5.0199,-0.101,-1.9882,10.7229,93171.9068,4677125840.0,3.3268,-0.0059,-0.118638,-0.019882
2021-03-10,510300,4.979,5.037,5.061,4.983,5.0,5.0229,0.021,0.4218,7.291,63653.576,3197285817.0,1.5666,0.0052,0.103892,0.004218
2021-03-11,510300,5.0,5.024,5.132,5.015,5.129,5.0944,0.129,2.58,7.3809,62067.6884,3161968866.0,2.34,-0.0005,-0.009749,0.0258
2021-03-12,510300,5.129,5.145,5.152,5.08,5.142,5.1207,0.013,0.2535,5.5429,44820.1493,2295113622.0,1.4038,0.0046,0.089379,0.002535
2021-03-15,510300,5.142,5.118,5.119,4.993,5.04,5.0512,-0.102,-1.9837,4.7411,38657.2405,1952657088.0,2.4504,-0.0041,-0.081415,-0.019837
2021-03-16,510300,5.04,5.042,5.086,5.012,5.073,5.0589,0.033,0.6548,3.9513,32323.6064,1635219630.0,1.4683,0.0067,0.131898,0.006548000000000001
2021-03-17,510300,5.073,5.059,5.121,5.013,5.096,5.0746,0.023,0.4534,3.804,30629.4597,1554332781.0,2.1289,0.0052,0.101937,0.004534
2021-03-18,510300,5.096,5.108,5.159,5.106,5.136,5.1298,0.04,0.7849,4.0047,31961.013,1639545016.0,1.04,0.0056,0.108916,0.007849
2021-03-19,510300,5.136,5.072,5.088,4.983,4.997,5.0346,-0.139,-2.7064,6.0426,49219.5605,2478004771.0,2.0444,0.0097,0.19374,-0.027063999999999998
2021-03-22,510300,4.997,4.995,5.072,4.99,5.054,5.0366,0.057,1.1407,5.2992,42348.6762,2132916087.0,1.641,0.0033,0.065252,0.011407
2021-03-23,510300,5.054,5.049,5.058,4.967,5.009,5.0028,-0.045,-0.8904,6.0384,49163.8773,2459560323.0,1.8006,0.0006,0.011977,-0.008904
2021-03-24,510300,5.009,4.988,5.03,4.912,4.933,4.9548,-0.076,-1.5173,8.7788,75505.2862,3741109719.0,2.3558,-0.0028,-0.056793,-0.015173
2021-03-25,510300,4.933,4.906,4.951,4.888,4.929,4.9223,-0.004,-0.0811,3.297,28490.8649,1402397542.0,1.2771,-0.001,-0.020292,-0.0008110000000000001
2021-03-26,510300,4.929,4.95,5.056,4.946,5.033,5.0134,0.104,2.11,6.4424,55653.495,2790146481.0,2.2317,0.0064,0.126999,0.021099999999999997
2021-03-29,510300,5.033,5.045,5.08,5.005,5.043,5.0526,0.01,0.1987,7.7142,63925.6772,3229920086.0,1.4902,0.0047,0.093112,0.001987
2021-03-30,510300,5.043,5.04,5.104,5.03,5.087,5.075,0.044,0.8725,3.2853,26828.389,1361536031.0,1.4674,0.008,0.157017,0.008725
2021-03-31,510300,5.087,5.083,5.084,5.013,5.05,5.0392,-0.037,-0.7273,2.839,23081.2676,1163103563.0,1.3957,-0.0011,-0.021787,-0.007272999999999999
2021-04-01,510300,5.05,5.056,5.12,5.052,5.112,5.0831,0.062,1.2277,4.0218,32299.6435,1641836115.0,1.3465,-0.0003,-0.005869,0.012277
2021-04-02,510300,5.112,5.13,5.166,5.109,5.161,5.1391,0.049,0.9585,3.5293,28033.4645,1440678165.0,1.115,0.0013,0.025183,0.009585
2021-04-06,510300,5.161,5.173,5.177,5.12,5.133,5.141,-0.028,-0.5425,2.9985,23463.5544,1206265186.0,1.1044,0.0079,0.15367,-0.005425
2021-04-07,510300,5.133,5.138,5.14,5.067,5.098,5.0907,-0.035,-0.6819,2.2402,17521.7273,891976442.0,1.4222,0.006,0.117555,-0.0068189999999999995
2021-04-08,510300,5.098,5.081,5.13,5.057,5.109,5.1012,0.011,0.2158,1.8031,14075.5921,718026031.0,1.4319,0.0039,0.076278,0.0021579999999999998
2021-04-09,510300,5.109,5.095,5.095,5.025,5.038,5.0486,-0.071,-1.3897,2.8214,22232.98,1122455291.0,1.3701,-0.0015,-0.029783,-0.013897
2021-04-12,510300,5.038,5.026,5.049,4.937,4.954,4.9708,-0.084,-1.6673,7.8567,66393.8234,3300299232.0,2.2231,-0.0047,-0.094963,-0.016673
2021-04-13,510300,4.954,4.946,4.994,4.929,4.947,4.9553,-0.007,-0.1413,5.2197,45354.5245,2247446204.0,1.3121,-0.0059,-0.119407,-0.0014130000000000002
2021-04-14,510300,4.947,4.952,4.989,4.943,4.975,4.9715,0.028,0.566,5.8968,52718.42,2620909273.0,0.9299,0.0068,0.136497,0.005659999999999999
2021-04-15,510300,4.975,4.96,4.965,4.894,4.947,4.9272,-0.028,-0.5628,5.627,49354.07,2431754041.0,1.4271,0.0031,0.062625,-0.005627999999999999
2021-04-16,510300,4.947,4.959,4.975,4.918,4.963,4.9543,0.016,0.3234,5.707,49989.403,2476638366.0,1.1522,0.0045,0.090589,0.0032340000000000003
2021-04-19,510300,4.963,4.959,5.097,4.936,5.089,5.048,0.126,2.5388,6.3881,56736.9226,2864077168.0,3.244,-0.0009,-0.017688,0.025388
2021-04-20,510300,5.089,5.071,5.116,5.062,5.081,5.09,-0.008,-0.1572,4.2333,36985.1557,1882537197.0,1.0611,0.0037,0.072767,-0.001572
2021-04-21,510300,5.081,5.049,5.108,5.047,5.093,5.08,0.012,0.2362,4.8748,41432.1361,2104768796.0,1.2006,0.0068,0.133339,0.002362
2021-04-22,510300,5.093,5.101,5.118,5.065,5.089,5.0847,-0.004,-0.0785,5.4885,44839.916,2279984129.0,1.0406,0.0049,0.096193,-0.000785
2021-04-23,510300,5.089,5.081,5.15,5.081,5.14,5.1279,0.051,1.0022,3.957,32299.263,1656258287.0,1.3559,0.0014,0.02723,0.010022
2021-04-26,510300,5.14,5.151,5.191,5.071,5.076,5.1336,-0.064,-1.2451,6.7321,53806.1634,2762169537.0,2.3346,0.0079,0.155393,-0.012451
2021-04-27,510300,5.076,5.08,5.098,5.053,5.089,5.0755,0.013,0.2561,3.9744,31779.2609,1612968576.0,0.8865,0.0079,0.154996,0.002561
2021-04-28,510300,5.089,5.071,5.13,5.056,5.127,5.0961,0.038,0.7467,3.8073,30124.5972,1535175286.0,1.4541,-0.0016,-0.031217,0.0074670000000000005
2021-04-29,510300,5.127,5.128,5.18,5.12,5.173,5.1551,0.046,0.8972,4.6871,38098.448,1964024088.0,1.1703,-0.002,-0.038677,0.008972
2021-04-30,510300,5.173,5.161,5.172,5.094,5.128,5.1354,-0.045,-0.8699,4.9182,40424.13,2075946585.0,1.5078,0.0023,0.044832,-0.008699
2021-05-06,510300,5.128,5.109,5.142,5.035,5.061,5.0867,-0.067,-1.3066,4.9114,40757.4566,2073197356.0,2.0866,0.0069,0.136151,-0.013066
2021-05-07,510300,5.061,5.073,5.097,4.996,5.0,5.0411,-0.061,-1.2053,4.0686,33828.9245,1705351377.0,1.9957,0.0029,0.057966,-0.012053000000000001
2021-05-10,510300,5.0,5.004,5.025,4.955,4.999,4.9919,-0.001,-0.02,4.3633,36919.9148,1843018242.0,1.4,-0.0002,-0.004001,-0.0002
2021-05-11,510300,4.999,4.967,5.044,4.932,5.025,4.9902,0.026,0.5201,4.6353,39792.653,1985720798.0,2.2404,0.0047,0.093445,0.005201
2021-05-12,510300,5.025,5.014,5.063,4.996,5.056,5.0316,0.031,0.6169,2.9556,25397.1232,1277881517.0,1.3333,-0.0045,-0.089082,0.006169
2021-05-13,510300,5.056,5.016,5.027,4.976,5.001,5.0006,-0.055,-1.0878,5.4513,47254.3935,2363024820.0,1.0087,-0.0009,-0.018,-0.010878
2021-05-14,510300,5.001,5.02,5.129,4.992,5.127,5.0842,0.126,2.5195,9.3196,84896.3043,4316323603.0,2.7395,-0.0085,-0.166064,0.025195
2021-05-17,510300,5.127,5.123,5.215,5.117,5.188,5.1917,0.061,1.1898,7.1018,66725.5521,3464215782.0,1.9114,0.0053,0.102055,0.011897999999999999
2021-05-18,510300,5.188,5.199,5.212,5.167,5.19,5.1854,0.002,0.0386,2.9858,28345.8826,1469848173.0,0.8674,0.0053,0.102015,0.000386
2021-05-19,510300,5.19,5.18,5.196,5.153,5.176,5.1727,-0.014,-0.2697,4.2329,39335.9467,2034732842.0,0.8285,0.0049,0.094578,-0.0026969999999999997
2021-05-20,510300,5.176,5.172,5.206,5.152,5.19,5.1831,0.014,0.2705,2.9075,27013.9103,1400149094.0,1.0433,0.0055,0.105861,0.0027050000000000004
2021-05-21,510300,5.19,5.197,5.227,5.123,5.135,5.1589,-0.055,-1.0597,5.8965,54106.3511,2791300042.0,2.0039,0.0086,0.167198,-0.010597
2021-05-24,510300,5.135,5.135,5.164,5.096,5.163,5.1389,0.028,0.5453,3.8395,34961.2789,1796637071.0,1.3242,0.0017,0.032916,0.005453
