TradingDay,index_code,prev_close,open_price,high_price,low_price,close_price,turnover_volume,turnover_value,change_pct,negotiable_mv,index_return
2020-12-28,000300.SH,5042.0137,5042.9432,5089.3447,5037.8582,5064.4147,13691440700.0,281019254170.5,0.44428677,19062956300000.0,0.0044428677
2020-12-29,000300.SH,5064.4147,5071.449,5077.4167,5034.3078,5042.9361,14119866200.0,279035233253.8,-0.42410824,18982108840000.0,-0.0042410824
2020-12-30,000300.SH,5042.9361,5037.9848,5113.7105,5036.6288,5113.7105,14862644800.0,296577812603.0,1.40343638,19248510690000.0,0.0140343638
2020-12-31,000300.SH,5113.7105,5122.4799,5215.6178,5122.4799,5211.2885,17160250900.0,358731371834.7,1.90816434,19615803820000.0,0.0190816434
2021-01-04,000300.SH,5211.2885,5212.9313,5284.4343,5190.9372,5267.7181,21171138200.0,452796175554.0,1.08283393,19828210480000.0,0.0108283393
2021-01-05,000300.SH,5267.7181,5245.8355,5368.5049,5234.3775,5368.5049,22493115900.0,498041939761.3,1.91329145,20207582120000.0,0.0191329145
2021-01-06,000300.SH,5368.5049,5386.5144,5433.4694,5341.4304,5417.6677,19377344400.0,444434377137.3,0.91576334,20392635630000.0,0.0091576334
2021-01-07,000300.SH,5417.6677,5428.3944,5513.6568,5413.3526,5513.6568,21987208000.0,473385353695.8,1.77177903,20753947960000.0,0.0177177903
2021-01-08,000300.SH,5513.6568,5526.2876,5547.4733,5442.6939,5495.4306,20432495600.0,473567653978.6,-0.33056464,20680392570000.0,-0.0033056464000000003
2021-01-11,000300.SH,5495.4306,5504.2358,5555.6916,5412.5046,5441.1583,23183598300.0,522298482544.3,-0.98758958,20478138360000.0,-0.0098758958
2021-01-12,000300.SH,5441.1583,5419.4996,5596.3525,5417.6272,5596.3525,22422018600.0,486233760739.8,2.85222725,21062221410000.0,0.028522272499999998
2021-01-13,000300.SH,5596.3525,5609.2637,5644.7195,5535.1435,5577.9711,26156988600.0,546959736365.5,-0.32845322,20993042000000.0,-0.0032845322
2021-01-14,000300.SH,5577.9711,5556.2125,5568.0179,5458.6818,5470.4563,24368338000.0,501890111879.0,-1.92748937,20588403170000.0,-0.0192748937
2021-01-15,000300.SH,5470.4563,5471.391,5500.6348,5390.2737,5458.0812,23863743500.0,475709920372.3,-0.22621696,20541828710000.0,-0.0022621696
2021-01-18,000300.SH,5458.0812,5438.1618,5541.4613,5410.775,5518.5205,20705186900.0,422717209153.0,1.10733604,20769295870000.0,0.011073360400000001
2021-01-19,000300.SH,5518.5205,5525.969,5532.4793,5415.7166,5437.5234,21104342500.0,433205176449.9,-1.46773216,20464458120000.0,-0.0146773216
2021-01-20,000300.SH,5437.5234,5439.9111,5496.0493,5426.5357,5476.4336,17091326000.0,373770384496.4,0.71558681,20610899330000.0,0.007155868100000001
2021-01-21,000300.SH,5476.4336,5492.9587,5593.1058,5490.5626,5564.9693,20995019700.0,453183684478.9,1.6166671,20944502710000.0,0.016166671
2021-01-22,000300.SH,5564.9693,5562.379,5573.6594,5513.8769,5569.776,19930002000.0,456622193435.6,0.08637424,20962593090000.0,0.0008637424
2021-01-25,000300.SH,5569.776,5564.1237,5655.4795,5543.2663,5625.9232,19704701900.0,508166980802.0,1.00806927,21173910560000.0,0.0100806927
2021-01-26,000300.SH,5625.9232,5600.9017,5600.9017,5505.9962,5512.9678,17190459000.0,415008069865.0,-2.00776648,20748787930000.0,-0.0200776648
2021-01-27,000300.SH,5512.9678,5505.7708,5534.9928,5449.6385,5528.0034,16019084100.0,376892605839.1,0.2727315,20805376700000.0,0.002727315
2021-01-28,000300.SH,5528.0034,5450.3695,5462.2352,5360.3766,5377.1427,17048558500.0,376166523177.5,-2.7290269,20237592190000.0,-0.027290269
2021-01-29,000300.SH,5377.1427,5413.9684,5430.2015,5288.0955,5351.9646,18217878400.0,390287690019.0,-0.46824311,20148641140000.0,-0.0046824311
2021-02-01,000300.SH,5351.9646,5356.8535,5422.299,5342.0458,5417.6484,16631370600.0,346859083730.0,1.2272839,20395921920000.0,0.012272839
2021-02-02,000300.SH,5417.6484,5429.7032,5503.2145,5411.5173,5501.0915,16521056500.0,380016716111.9,1.54020885,20710062010000.0,0.0154020885
2021-02-03,000300.SH,5501.0915,5499.2961,5532.8864,5473.1237,5485.2008,18805431700.0,404343602637.7,-0.28886449,20654863030000.0,-0.0028886448999999995
2021-02-04,000300.SH,5485.2008,5453.9764,5510.0535,5411.5749,5473.9475,18057565400.0,397995205379.9,-0.20515748,20612487880000.0,-0.0020515748
2021-02-05,000300.SH,5473.9475,5494.7011,5550.7714,5477.6517,5483.414,18969959800.0,395400134490.2,0.17293735,20648134680000.0,0.0017293735
2021-02-08,000300.SH,5483.414,5506.1423,5576.4908,5479.8529,5564.5618,16403377500.0,367582771658.8,1.47987732,20953701760000.0,0.014798773199999999
2021-02-09,000300.SH,5564.5618,5584.165,5686.2502,5555.0537,5686.2502,16488726000.0,378769121171.9,2.18684605,21411926840000.0,0.021868460500000002
2021-02-10,000300.SH,5686.2502,5709.684,5823.4219,5707.3295,5807.7191,17016978600.0,417056463360.9,2.13618634,21869325510000.0,0.0213618634
2021-02-18,000300.SH,5807.7191,5922.0714,5930.9122,5747.6631,5768.3814,21884868600.0,507481235977.7,-0.67733476,21721196840000.0,-0.0067733476
2021-02-19,000300.SH,5768.3814,5734.0193,5787.8871,5667.3209,5778.842,21447578000.0,456433793702.1,0.18134376,21755891160000.0,0.0018134376
2021-02-22,000300.SH,5778.842,5785.5097,5785.5097,5597.3327,5597.3327,28212438200.0,543633153216.5,-3.14092858,21072554140000.0,-0.0314092858
2021-02-23,000300.SH,5597.3327,5542.6841,5644.7551,5541.1092,5579.6681,23380772700.0,424904470814.2,-0.3155896,21010725520000.0,-0.003155896
2021-02-24,000300.SH,5579.6681,5591.4795,5598.8284,5379.7278,5437.5683,22542861000.0,472369211004.2,-2.54674288,20475636230000.0,-0.0254674288
2021-02-25,000300.SH,5437.5683,5494.4706,5527.6296,5444.1646,5469.5584,23073602800.0,412206157140.7,0.58831629,20596097960000.0,0.0058831629
2021-02-26,000300.SH,5469.5584,5343.9041,5416.3197,5318.8579,5336.7609,21226454300.0,405717700127.9,-2.42793824,20096037310000.0,-0.0242793824
2021-03-01,000300.SH,5336.7609,5389.2499,5421.555,5345.9449,5418.7837,17746352300.0,358146545967.0,1.53693976,20404901250000.0,0.015369397600000001
2021-03-02,000300.SH,5418.7837,5453.2847,5454.9687,5305.0545,5349.6301,19651111500.0,376444604695.3,-1.27618307,20144497400000.0,-0.0127618307
2021-03-03,000300.SH,5349.6301,5327.3467,5452.396,5316.4809,5452.2125,19470905400.0,337610313596.4,1.91756062,20530780190000.0,0.0191756062
2021-03-04,000300.SH,5452.2125,5388.4785,5392.3725,5254.7771,5280.7058,21277521100.0,384382456961.0,-3.14563491,19884957010000.0,-0.0314563491
2021-03-05,000300.SH,5280.7058,5191.9699,5307.8203,5174.2458,5262.7958,20262795600.0,352539774294.9,-0.33915921,19822178830000.0,-0.0033915920999999997
2021-03-08,000300.SH,5262.7958,5299.7907,5326.2602,5079.7984,5080.0246,23023163500.0,407133802141.7,-3.47289173,19133776130000.0,-0.0347289173
2021-03-09,000300.SH,5080.0246,5066.1546,5094.311,4917.909,4970.9994,23071100400.0,414415213806.2,-2.14615496,18723135750000.0,-0.0214615496
2021-03-10,000300.SH,4970.9994,5047.0589,5055.2785,4981.6161,5003.6121,16992849000.0,309577408714.9,0.65605922,18845970360000.0,0.006560592200000001
2021-03-11,000300.SH,5003.6121,5024.5586,5138.4146,5020.5784,5128.2156,18960076600.0,333859199678.6,2.49027098,19315286200000.0,0.0249027098
2021-03-12,000300.SH,5128.2156,5153.674,5153.674,5086.8234,5146.3786,20102058900.0,323237751413.4,0.35417778,19383696490000.0,0.0035417778
2021-03-15,000300.SH,5146.3786,5116.1228,5120.8757,4992.3989,5035.5441,20415308400.0,330740513807.9,-2.15364062,18966241620000.0,-0.0215364062
2021-03-16,000300.SH,5035.5441,5054.4089,5084.3085,5009.951,5079.3624,16139005400.0,271755048563.6,0.87018005,19134587080000.0,0.0087018005
2021-03-17,000300.SH,5079.3624,5062.7706,5123.5452,5020.1255,5100.8581,14916237600.0,263492417708.9,0.42319682,19215564150000.0,0.0042319682
2021-03-18,000300.SH,5100.8581,5114.5872,5160.4566,5111.1294,5141.7681,14290151800.0,260930046844.7,0.80202192,19369677100000.0,0.008020219200000001
2021-03-19,000300.SH,5141.7681,5068.5319,5089.9175,4980.7609,5007.0907,16417484900.0,282974489237.2,-2.61928188,18862330800000.0,-0.0261928188
2021-03-22,000300.SH,5007.0907,5008.3953,5071.3378,4996.541,5057.152,16740263200.0,264209098943.0,0.99980813,19050917760000.0,0.0099980813
2021-03-23,000300.SH,5057.152,5057.0632,5064.02,4966.534,5009.2459,15801396700.0,255755377659.6,-0.94729405,18870449700000.0,-0.0094729405
2021-03-24,000300.SH,5009.2459,4985.4013,5024.3274,4919.8932,4928.6853,15938598200.0,265970020152.0,-1.60823808,18566968050000.0,-0.0160823808
2021-03-25,000300.SH,4928.6853,4904.0683,4950.7608,4883.6615,4926.3469,13294518900.0,219782049461.7,-0.0474447,18558158720000.0,-0.000474447
2021-03-26,000300.SH,4926.3469,4953.9453,5050.8292,4953.9453,5037.9899,14592669700.0,273901922431.3,2.26624317,18978731840000.0,0.0226624317
2021-03-29,000300.SH,5037.9899,5052.2634,5086.6543,5010.3902,5046.8773,14338821500.0,266176599970.5,0.17640766,19012211700000.0,0.0017640766
2021-03-30,000300.SH,5046.8773,5043.0952,5106.0365,5032.795,5094.7291,13861856000.0,254928014461.3,0.94814669,19192475320000.0,0.009481466899999999
2021-03-31,000300.SH,5094.7291,5085.9497,5085.9497,5015.607,5048.3607,14133574300.0,241058485554.4,-0.91012494,19017799780000.0,-0.0091012494
2021-04-01,000300.SH,5048.3607,5059.9359,5115.4286,5056.8718,5110.7768,12032489000.0,211493324391.1,1.23636372,19254535380000.0,0.0123636372
2021-04-02,000300.SH,5110.7768,5129.8545,5169.8312,5116.3472,5161.5569,12700225400.0,248060376224.1,0.99358868,19445846220000.0,0.0099358868
2021-04-06,000300.SH,5161.5569,5178.6401,5181.149,5125.3301,5140.3418,10983421000.0,213852444065.4,-0.41102133,19365919370000.0,-0.0041102133
2021-04-07,000300.SH,5140.3418,5141.6556,5141.6556,5065.1932,5103.7428,14576374800.0,246271190296.5,-0.71199546,19228034930000.0,-0.007119954600000001
2021-04-08,000300.SH,5103.7428,5078.2627,5129.1318,5062.0725,5112.2086,14177104700.0,228422004674.7,0.16587435,19261759410000.0,0.0016587435
2021-04-09,000300.SH,5112.2086,5100.0422,5100.0422,5022.0926,5035.3374,12841650900.0,221519791677.6,-1.50367886,18972124390000.0,-0.0150367886
2021-04-12,000300.SH,5035.3374,5026.9791,5045.6018,4933.0126,4947.7459,15264431400.0,267218195772.7,-1.73953587,18648155400000.0,-0.017395358700000002
2021-04-13,000300.SH,4947.7459,4949.8074,4994.5404,4924.1979,4939.6438,13291935800.0,225753230649.2,-0.16375336,18617618330000.0,-0.0016375335999999998
2021-04-14,000300.SH,4939.6438,4945.6857,4987.1191,4940.2686,4980.6279,12086083800.0,221036276090.0,0.82969748,18772088220000.0,0.0082969748
2021-04-15,000300.SH,4980.6279,4969.9099,4969.9099,4900.3033,4948.9741,10882938400.0,213820884103.5,-0.63553834,18652784440000.0,-0.0063553834
2021-04-16,000300.SH,4948.9741,4966.8999,4979.1731,4917.9596,4966.1811,11123992400.0,213389173713.5,0.34768822,18717638070000.0,0.0034768822
2021-04-19,000300.SH,4966.1811,4966.409,5088.2106,4940.7473,5087.0165,15476982400.0,307899776737.5,2.4331654,19173069300000.0,0.024331654
2021-04-20,000300.SH,5087.0165,5065.7757,5119.8586,5058.9247,5083.3654,13654170000.0,276640588159.1,-0.07177291,19159308010000.0,-0.0007177291
2021-04-21,000300.SH,5083.3654,5055.2398,5110.5623,5047.9916,5098.7449,12463727700.0,242574995256.0,0.30254563,19217273830000.0,0.0030254563000000003
2021-04-22,000300.SH,5098.7449,5114.2799,5119.2246,5067.1382,5089.2435,12116764500.0,241488845756.1,-0.18634782,19181462830000.0,-0.0018634782
2021-04-23,000300.SH,5089.2435,5088.8263,5149.9825,5086.4914,5135.4534,12205699100.0,264345183118.9,0.90799153,19355628900000.0,0.0090799153
2021-04-26,000300.SH,5135.4534,5156.5941,5181.1066,5072.9585,5077.2372,15138196700.0,325760384278.3,-1.13361364,19136210910000.0,-0.0113361364
2021-04-27,000300.SH,5077.2372,5076.6415,5095.9842,5042.6099,5090.5195,12396183700.0,254738009833.6,0.26160487,19186272030000.0,0.0026160487
2021-04-28,000300.SH,5090.5195,5073.9728,5119.4455,5059.2628,5119.2421,12062031800.0,272182521893.2,0.56423711,19294528030000.0,0.0056423711
2021-04-29,000300.SH,5119.2421,5128.2795,5170.5852,5113.6484,5164.1692,14009248000.0,294112454366.3,0.87761233,19466057860000.0,0.0087761233
2021-04-30,000300.SH,5164.1692,5156.3557,5163.2517,5094.9285,5123.489,16012162100.0,315075102884.9,-0.78773949,19313827800000.0,-0.0078773949
2021-05-06,000300.SH,5123.489,5098.8006,5132.8986,5037.4083,5061.1244,15882263000.0,323258264641.5,-1.21722912,19078734260000.0,-0.012172291200000001
2021-05-07,000300.SH,5061.1244,5073.4554,5093.7471,4996.037,4996.0527,17225832100.0,304638402155.0,-1.28571627,18831495760000.0,-0.0128571627
2021-05-10,000300.SH,4996.0527,5001.4371,5019.3927,4953.6965,4992.422,17082058500.0,282656808853.4,-0.07267137,18817810700000.0,-0.0007267137
2021-05-11,000300.SH,4992.422,4956.0794,5033.4938,4925.9152,5023.0595,15152649700.0,270931616512.9,0.61368009,18933918150000.0,0.0061368009
2021-05-12,000300.SH,5023.0595,5003.8171,5051.1682,4995.4048,5044.5481,12661908600.0,228344006493.0,0.42779903,19014917380000.0,0.0042779903
