TradingDay,idx_000905_SH__index_code,idx_000905_SH__prev_close,idx_000905_SH__open_price,idx_000905_SH__high_price,idx_000905_SH__low_price,idx_000905_SH__close_price,idx_000905_SH__turnover_volume,idx_000905_SH__turnover_value,idx_000905_SH__change_pct,idx_000905_SH__negotiable_mv,idx_000905_SH__index_return,idx_000300_SH__index_code,idx_000300_SH__prev_close,idx_000300_SH__open_price,idx_000300_SH__high_price,idx_000300_SH__low_price,idx_000300_SH__close_price,idx_000300_SH__turnover_volume,idx_000300_SH__turnover_value,idx_000300_SH__change_pct,idx_000300_SH__negotiable_mv,idx_000300_SH__index_return,fund_512510__fund_code,fund_512510__prev_close,fund_512510__open_price,fund_512510__high_price,fund_512510__low_price,fund_512510__close_price,fund_512510__avg_price,fund_512510__change_of_price,fund_512510__change_pct,fund_512510__turnover_rate,fund_512510__turnover_volume,fund_512510__turnover_value,fund_512510__vibration_range,fund_512510__discount,fund_512510__discount_ratio,fund_512510__fund_return,fund_510300__fund_code,fund_510300__prev_close,fund_510300__open_price,fund_510300__high_price,fund_510300__low_price,fund_510300__close_price,fund_510300__avg_price,fund_510300__change_of_price,fund_510300__change_pct,fund_510300__turnover_rate,fund_510300__turnover_volume,fund_510300__turnover_value,fund_510300__vibration_range,fund_510300__discount,fund_510300__discount_ratio,fund_510300__fund_return
2020/12/28,000905.SH,6278.4981,6283.7821,6288.2442,6219.091,6244.4818,14896021400,1.60E+11,-0.5417904,5.53E+12,-0.005417904,000300.SH,5042.0137,5042.9432,5089.3447,5037.8582,5064.4147,13691440700,2.81E+11,0.44428677,1.91E+13,0.004442868,512510,1.5,1.501,1.504,1.486,1.491,1.4928,-0.009,-0.6,2.2336,818.4597,12217724,1.2,0.0027,0.180759,-0.006,510300,5.116,5.112,5.16,5.103,5.13,5.1257,0.014,0.2737,5.3155,44713.0014,2291869850,1.1142,0.0049,0.095425,0.002737
2020/12/29,000905.SH,6244.4818,6240.7355,6280.0396,6196.4147,6199.8523,15447603200,1.56E+11,-0.71470302,5.49E+12,-0.00714703,000300.SH,5064.4147,5071.449,5077.4167,5034.3078,5042.9361,14119866200,2.79E+11,-0.42410824,1.90E+13,-0.004241082,512510,1.491,1.495,1.502,1.482,1.485,1.4906,-0.006,-0.4024,2.1446,790.14,11777893,1.3414,-0.0017,-0.114609,-0.004024,510300,5.13,5.138,5.152,5.106,5.114,5.1242,-0.016,-0.3119,4.0655,34271.79,1756155512,0.8967,-0.0004,-0.007822,-0.003119
2020/12/30,000905.SH,6199.8523,6196.4505,6289.2704,6188.5931,6269.2484,13804167300,1.48E+11,1.1193186,5.55E+12,0.011193186,000300.SH,5042.9361,5037.9848,5113.7105,5036.6288,5113.7105,14862644800,2.97E+11,1.40343638,1.92E+13,0.014034364,512510,1.485,1.479,1.502,1.479,1.497,1.4914,0.012,0.8081,2.4142,894.2818,13337626,1.5488,0.0042,0.279776,0.008081,510300,5.114,5.11,5.18,5.107,5.178,5.1568,0.064,1.2515,4.0296,34067.1518,1756760313,1.4275,0.0072,0.138857,0.012515
2020/12/31,000905.SH,6269.2484,6282.9576,6370.5695,6281.0138,6367.1149,16019408600,1.74E+11,1.56105635,5.64E+12,0.015610564,000300.SH,5113.7105,5122.4799,5215.6178,5122.4799,5211.2885,17160250900,3.59E+11,1.90816434,1.96E+13,0.019081643,512510,1.497,1.494,1.524,1.494,1.521,1.5147,0.024,1.6032,4.9836,1786.2701,27056012,2.004,0.0044,0.288449,0.016032,510300,5.178,5.188,5.293,5.186,5.287,5.2579,0.109,2.1051,9.9543,86179.9157,4531294876,2.0664,-0.0028,-0.052988,0.021051
2021/1/4,000905.SH,6367.1149,6395.6118,6501.5892,6359.0797,6482.7868,18662120900,2.11E+11,1.81670822,5.74E+12,0.018167082,000300.SH,5211.2885,5212.9313,5284.4343,5190.9372,5267.7181,21171138200,4.53E+11,1.08283393,1.98E+13,0.010828339,512510,1.521,1.523,1.554,1.521,1.552,1.5386,0.031,2.0381,3.8838,1368.7652,21059219,2.1696,0.0009,0.057956,0.020381,510300,5.287,5.28,5.366,5.26,5.334,5.323,0.047,0.889,5.8613,50670.5639,2697192786,2.0049,0.0072,0.134801,0.00889
2021/1/5,000905.SH,6482.7868,6470.2503,6539.7315,6452.5245,6539.7315,19672629200,2.27E+11,0.87839847,5.79E+12,0.008783985,000300.SH,5267.7181,5245.8355,5368.5049,5234.3775,5368.5049,22493115900,4.98E+11,1.91329145,2.02E+13,0.019132915,512510,1.552,1.557,1.562,1.54,1.562,1.5535,0.01,0.6443,3.7514,1307.0973,20305219,1.4175,0.0041,0.261797,0.006443,510300,5.334,5.321,5.445,5.305,5.433,5.3785,0.099,1.856,7.4272,62283.0794,3349890567,2.6247,0.0093,0.170884,0.01856
2021/1/6,000905.SH,6539.7315,6549.731,6569.199,6472.7446,6528.1425,17852108600,2.09E+11,-0.17720911,5.78E+12,-0.001772091,000300.SH,5368.5049,5386.5144,5433.4694,5341.4304,5417.6677,19377344400,4.44E+11,0.91576334,2.04E+13,0.009157633,512510,1.562,1.562,1.57,1.55,1.562,1.5615,0,0,2.7315,946.2687,14775519,1.2804,0.0013,0.083157,0,510300,5.433,5.447,5.514,5.417,5.482,5.4647,0.049,0.9019,4.4794,37494.5107,2048972312,1.7854,0.0097,0.17663,0.009019
2021/1/7,000905.SH,6528.1425,6523.6756,6567.2727,6467.4371,6538.1162,19713564100,2.19E+11,0.15278006,5.79E+12,0.001527801,000300.SH,5417.6677,5428.3944,5513.6568,5413.3526,5513.6568,21987208000,4.73E+11,1.77177903,2.08E+13,0.01771779,512510,1.562,1.562,1.57,1.548,1.561,1.5586,-0.001,-0.064,2.7757,950.4686,14814390,1.4085,0.0051,0.32565,-0.00064,510300,5.482,5.49,5.6,5.483,5.599,5.5338,0.117,2.1343,5.5418,47065.9227,2604546537,2.1343,-0.0108,-0.193264,0.021343
2021/1/8,000905.SH,6538.1162,6541.5576,6598.3812,6484.3979,6557.5964,18083742900,2.07E+11,0.29794821,5.81E+12,0.002979482,000300.SH,5513.6568,5526.2876,5547.4733,5442.6939,5495.4306,20432495600,4.74E+11,-0.33056464,2.07E+13,-0.003305646,512510,1.561,1.561,1.578,1.552,1.57,1.564,0.009,0.5766,3.4138,1175.8265,18389775,1.6656,0.0006,0.038202,0.005766,510300,5.599,5.608,5.631,5.519,5.571,5.5684,-0.028,-0.5001,7.8843,69756.4767,3884322786,2.0004,-0.0005,-0.008976,-0.005001
2021/1/11,000905.SH,6557.5964,6557.4528,6572.8538,6419.731,6455.3987,18325727100,2.18E+11,-1.55846279,5.73E+12,-0.015584628,000300.SH,5495.4306,5504.2358,5555.6916,5412.5046,5441.1583,23183598300,5.22E+11,-0.98758958,2.05E+13,-0.009875896,512510,1.57,1.57,1.57,1.537,1.544,1.5567,-0.026,-1.6561,3.0048,1022.9163,15923504,2.1019,0.0022,0.142284,-0.016561,510300,5.571,5.572,5.62,5.477,5.508,5.5615,-0.063,-1.1309,7.3496,63596.5163,3536919284,2.5669,0.0074,0.13417,-0.011309
2021/1/12,000905.SH,6455.3987,6425.8148,6543.2286,6425.8148,6543.2286,16231123700,1.99E+11,1.36056507,5.80E+12,0.013605651,000300.SH,5441.1583,5419.4996,5596.3525,5417.6272,5596.3525,22422018600,4.86E+11,2.85222725,2.11E+13,0.028522272,512510,1.544,1.544,1.566,1.543,1.564,1.5537,0.02,1.2953,1.6853,566.98,8809262,1.4896,0.0029,0.185079,0.012953,510300,5.508,5.496,5.672,5.492,5.668,5.5802,0.16,2.9049,7.0128,59628.0782,3327361996,3.268,0.0036,0.063474,0.029049
2021/1/13,000905.SH,6543.2286,6550.0346,6553.6488,6457.881,6496.9131,18491342000,2.23E+11,-0.70783863,5.76E+12,-0.007078386,000300.SH,5596.3525,5609.2637,5644.7195,5535.1435,5577.9711,26156988600,5.47E+11,-0.32845322,2.10E+13,-0.003284532,512510,1.564,1.572,1.572,1.549,1.555,1.5594,-0.009,-0.5754,1.2607,426.6697,6653455,1.4706,0.0012,0.077111,-0.005754,510300,5.668,5.684,5.715,5.61,5.646,5.6656,-0.022,-0.3881,6.5033,55243.4398,3129878571,1.8525,0.0074,0.130895,-0.003881
