TradingDay,fund_code,prev_close,open_price,high_price,low_price,close_price,avg_price,change_of_price,change_pct,turnover_rate,turnover_volume,turnover_value,vibration_range,discount,discount_ratio,fund_return
2020-12-28,515180,1.108,1.109,1.109,1.096,1.1,1.0999,-0.008,-0.722,1.4704,1856.6,20421612.0,1.1733,0.0005,0.045434,-0.00722
2020-12-29,515180,1.1,1.101,1.103,1.09,1.092,1.0955,-0.008,-0.7273,0.7391,934.67,10238992.0,1.1818,-0.0011,-0.100834,-0.007272999999999999
2020-12-30,515180,1.092,1.092,1.098,1.088,1.094,1.0933,0.002,0.1832,0.5201,658.78,7202759.0,0.9158,0.0014,0.127807,0.001832
2020-12-31,515180,1.094,1.095,1.103,1.095,1.103,1.0992,0.009,0.8227,0.769,973.32,10698803.0,0.7313,0.0004,0.036252,0.008227
2021-01-04,515180,1.103,1.103,1.108,1.097,1.108,1.1035,0.005,0.4533,1.1563,1459.94,16110705.0,0.9973,-0.0008,-0.072254,0.004533
2021-01-05,515180,1.108,1.107,1.108,1.094,1.108,1.0992,0.0,0.0,1.4092,1769.4649,19450725.0,1.2635,0.0017,0.153195,0.0
2021-01-06,515180,1.108,1.107,1.114,1.102,1.112,1.1073,0.004,0.361,0.8405,1046.1653,11584680.0,1.083,0.0002,0.017982,0.00361
2021-01-07,515180,1.112,1.111,1.113,1.096,1.104,1.1051,-0.008,-0.7194,0.9444,1166.9664,12896653.0,1.5288,0.0011,0.099539,-0.007194000000000001
2021-01-08,515180,1.104,1.104,1.111,1.095,1.108,1.1042,0.004,0.3623,0.8112,995.91,10996807.0,1.4493,0.0002,0.018047,0.003623
2021-01-11,515180,1.108,1.108,1.109,1.093,1.096,1.1022,-0.012,-1.083,1.1605,1418.8756,15638939.0,1.444,-0.0003,-0.02738,-0.01083
2021-01-12,515180,1.096,1.096,1.104,1.092,1.104,1.0975,0.008,0.7299,1.1519,1402.56,15392968.0,1.0949,0.0005,0.045269,0.007299
2021-01-13,515180,1.104,1.103,1.105,1.095,1.103,1.1003,-0.001,-0.0906,0.9884,1187.7478,13068364.0,0.9058,-0.0001,-0.009067,-0.000906
2021-01-14,515180,1.103,1.103,1.104,1.094,1.098,1.0996,-0.005,-0.4533,0.7738,929.8676,10224443.0,0.9066,0.001,0.090992,-0.004533
2021-01-15,515180,1.098,1.097,1.107,1.096,1.105,1.1029,0.007,0.6375,1.0267,1231.6449,13583447.0,1.0018,0.0005,0.045228,0.006375
2021-01-18,515180,1.105,1.105,1.114,1.105,1.114,1.1102,0.009,0.8145,1.3628,1632.095,18119583.0,0.8145,0.0004,0.035894,0.008145
2021-01-19,515180,1.114,1.115,1.127,1.109,1.119,1.1182,0.005,0.4488,1.1213,1338.47,14966356.0,1.6158,0.0013,0.11604,0.004488
