TradingDay,index_code,prev_close,open_price,high_price,low_price,close_price,turnover_volume,turnover_value,change_pct,negotiable_mv,index_return
2020-12-28,000985,5485.7165,5487.7391,5511.6929,5460.2816,5483.8079,65401321553.0,816108475482.0,-0.03479217,34549472560000.0,-0.00034792169999999997
2020-12-29,000985,5483.8079,5486.5689,5501.6216,5449.0595,5454.4269,64656312788.0,796218865393.0,-0.53577734,34364305030000.0,-0.0053577734
2020-12-30,000985,5454.4269,5451.1765,5525.3526,5450.291,5524.2397,60780824570.0,779124377430.0,1.27992915,34804200240000.0,0.0127992915
2020-12-31,000985,5524.2397,5533.774,5623.7745,5533.774,5621.7288,66855248296.0,887968757282.0,1.76475145,35418307710000.0,0.017647514500000003
2021-01-04,000985,5621.7288,5632.8679,5725.8606,5613.4157,5712.1841,77936499107.0,1087433866437.0,1.60902995,35987743800000.0,0.016090299500000002
2021-01-05,000985,5712.1841,5691.3423,5780.6687,5678.2142,5780.6687,82755477818.0,1179998358325.0,1.19892144,36418901720000.0,0.011989214399999998
2021-01-06,000985,5780.6687,5793.436,5818.7864,5726.489,5791.312,76429619446.0,1088151171987.0,0.18411884,36485955710000.0,0.0018411884
2021-01-07,000985,5791.312,5791.3952,5819.752,5739.873,5819.752,83401709348.0,1131347286970.0,0.49108043,36664879450000.0,0.0049108043
2021-01-08,000985,5819.752,5826.0093,5841.296,5756.6187,5804.6007,72976553439.0,1062807665812.0,-0.26034271,36562628410000.0,-0.0026034270999999998
2021-01-11,000985,5804.6007,5810.5267,5839.1229,5697.8504,5726.6583,76643277596.0,1133779493236.0,-1.34276937,36089883200000.0,-0.0134276937
2021-01-12,000985,5726.6583,5704.5966,5851.0088,5703.6767,5851.0088,67811232542.0,1022679678274.0,2.17143216,36874722770000.0,0.021714321600000003
2021-01-13,000985,5851.0088,5860.2993,5874.6774,5772.6897,5812.2742,78614910393.0,1163432365741.0,-0.66201575,36630606040000.0,-0.0066201575
2021-01-14,000985,5812.2742,5788.2353,5803.2649,5721.6353,5735.211,70919751665.0,1052560846553.0,-1.32587,36145158610000.0,-0.013258700000000002
2021-01-15,000985,5735.211,5731.9143,5764.2447,5666.2853,5740.2818,65560728226.0,966302175668.0,0.08841523,36177703830000.0,0.0008841523
2021-01-18,000985,5740.2818,5724.4291,5831.2332,5711.7042,5817.5207,63347741035.0,929161453716.0,1.34555938,36665391220000.0,0.0134555938
2021-01-19,000985,5817.5207,5820.6391,5829.3354,5736.2082,5755.5835,68523556026.0,970119001154.0,-1.0646666,36275027190000.0,-0.010646666
2021-01-20,000985,5755.5835,5758.2248,5812.7698,5744.1408,5804.3862,58293356663.0,849663191659.0,0.84791924,36584484280000.0,0.0084791924
2021-01-21,000985,5804.3862,5815.8734,5912.1949,5815.2802,5884.7249,70305943386.0,1014851628711.0,1.38410328,37092143600000.0,0.0138410328
2021-01-22,000985,5884.7249,5879.5395,5891.1672,5830.0332,5885.3459,68662712363.0,1035767189119.0,0.01055274,37094614350000.0,0.0001055274
2021-01-25,000985,5885.3459,5877.8532,5944.6673,5850.6649,5902.0349,69691150690.0,1127330652417.0,0.28356872,37202141480000.0,0.0028356872
2021-01-26,000985,5902.0349,5876.8583,5877.6426,5782.778,5791.2593,59592447225.0,942254548044.0,-1.8769052,36509065450000.0,-0.018769051999999998
2021-01-27,000985,5791.2593,5784.9605,5814.159,5727.7294,5805.7559,56717575269.0,856989431919.0,0.25031861,36602356110000.0,0.0025031861
2021-01-28,000985,5805.7559,5730.2162,5761.0557,5653.1588,5665.264,59165223910.0,852409691015.0,-2.41987266,35716724650000.0,-0.024198726599999998
2021-01-29,000985,5665.264,5700.2831,5715.1625,5545.8507,5615.5745,62753037967.0,886716275277.0,-0.87709064,35404551880000.0,-0.0087709064
2021-02-01,000985,5615.5745,5611.9708,5669.9147,5601.7108,5667.7869,57947749800.0,789282259917.0,0.92977842,35732348370000.0,0.009297784199999999
2021-02-02,000985,5667.7869,5677.2864,5744.3932,5650.0885,5742.1967,56201856629.0,834777113586.0,1.31285458,36199363700000.0,0.0131285458
2021-02-03,000985,5742.1967,5740.9665,5764.5089,5701.9299,5706.4827,60700577631.0,885198806027.0,-0.6219571,35977374660000.0,-0.006219571
2021-02-04,000985,5706.4827,5679.0094,5718.7077,5592.2213,5660.392,61507972541.0,875507279096.0,-0.80769017,35686788480000.0,-0.0080769017
2021-02-05,000985,5660.392,5677.5773,5710.1818,5625.0936,5628.4284,57362900864.0,826945703223.0,-0.56468881,35486270250000.0,-0.0056468881000000005
2021-02-08,000985,5628.4284,5645.1773,5718.5577,5612.9201,5702.5332,49763004583.0,744576237273.0,1.3166162,35953856580000.0,0.013166161999999999
2021-02-09,000985,5702.5332,5718.7636,5827.3064,5703.0741,5826.2763,51100131439.0,771441595852.0,2.1699672,36734893430000.0,0.021699672
2021-02-10,000985,5826.2763,5845.1461,5932.7361,5836.6478,5918.5922,50696611434.0,809607792362.0,1.58447515,37316949030000.0,0.0158447515
2021-02-18,000985,5918.5922,6028.9691,6041.3823,5904.0612,5930.6106,67213138634.0,1014329231936.0,0.2030618,37391077800000.0,0.0020306179999999997
2021-02-19,000985,5930.6106,5904.8633,5982.0176,5853.9275,5977.4226,71069666712.0,974424497270.0,0.78932851,37681606280000.0,0.007893285100000001
2021-02-22,000985,5977.4226,5991.0688,6009.3165,5863.7441,5863.7441,93892712167.0,1217014295883.0,-1.90179794,36964978060000.0,-0.0190179794
2021-02-23,000985,5863.7441,5815.8045,5900.2304,5811.2944,5839.8954,75872967176.0,955905056452.0,-0.40671454,36816729670000.0,-0.0040671454000000004
2021-02-24,000985,5839.8954,5846.7715,5862.7581,5669.6463,5727.2327,71205836859.0,995181797113.0,-1.92919038,36106300720000.0,-0.0192919038
2021-02-25,000985,5727.2327,5780.9282,5787.6876,5716.2331,5729.9131,68457282747.0,871439301775.0,0.04680096,36124969880000.0,0.0004680096
2021-02-26,000985,5729.9131,5609.8639,5687.769,5599.4313,5617.6694,63704061906.0,843168591569.0,-1.95890754,35417315190000.0,-0.0195890754
2021-03-01,000985,5617.6694,5664.7134,5725.6887,5646.0969,5723.7588,61948943300.0,811101458165.0,1.8884949,36080107390000.0,0.018884948999999998
2021-03-02,000985,5723.7588,5753.7445,5753.7445,5622.753,5665.895,65570113755.0,852232764070.0,-1.01094057,35716404750000.0,-0.0101094057
2021-03-03,000985,5665.895,5648.0934,5759.7838,5644.4479,5759.4494,66066024285.0,796238192718.0,1.65118485,36306318400000.0,0.0165118485
2021-03-04,000985,5759.4494,5706.6237,5712.9756,5587.9845,5611.5937,74053620257.0,899514012464.0,-2.56718463,35373842680000.0,-0.0256718463
2021-03-05,000985,5611.5937,5532.7077,5646.2794,5522.9144,5607.5509,69252235703.0,816303363491.0,-0.0720437,35351204990000.0,-0.000720437
2021-03-08,000985,5607.5509,5645.4243,5672.4379,5445.8382,5446.469,74482159678.0,909525791679.0,-2.87258917,34336701370000.0,-0.0287258917
2021-03-09,000985,5446.469,5431.406,5447.1201,5253.1022,5317.1495,78359001744.0,919657198979.0,-2.37437319,33521577710000.0,-0.0237437319
2021-03-10,000985,5317.1495,5387.0972,5391.7653,5309.1116,5321.8715,58679509250.0,697903004367.0,0.08880698,33555941810000.0,0.0008880698
2021-03-11,000985,5321.8715,5337.3838,5452.2848,5324.5242,5452.2848,63074120722.0,743650809885.0,2.45051576,34377604010000.0,0.0245051576
2021-03-12,000985,5452.2848,5472.9631,5473.2336,5409.5008,5469.1625,68805138734.0,760165544311.0,0.3095528,34484686820000.0,0.003095528
2021-03-15,000985,5469.1625,5441.9671,5456.9311,5335.465,5382.1092,68067594789.0,753844871615.0,-1.59171171,33901112470000.0,-0.0159171171
2021-03-16,000985,5382.1092,5395.9047,5430.5274,5356.4402,5430.0354,63391539083.0,686637326673.0,0.89047246,34206427780000.0,0.0089047246
2021-03-17,000985,5430.0354,5414.8452,5470.8231,5374.1233,5457.8584,58637424407.0,658574302849.0,0.51239077,34381391200000.0,0.0051239077
2021-03-18,000985,5457.8584,5466.7906,5514.4799,5463.2356,5493.3516,58566410873.0,673864237847.0,0.65031368,34604978330000.0,0.0065031368
2021-03-19,000985,5493.3516,5421.0219,5454.4527,5361.9237,5389.634,61509364736.0,705001141552.0,-1.88805683,33951617030000.0,-0.0188805683
2021-03-22,000985,5389.634,5392.3948,5456.7174,5385.7037,5456.4008,63079876684.0,692199701793.0,1.23880026,34373371470000.0,0.012388002600000001
2021-03-23,000985,5456.4008,5456.7072,5456.7072,5361.8037,5397.6099,65373671179.0,710741163888.0,-1.07746667,34003932830000.0,-0.0107746667
2021-03-24,000985,5397.6099,5369.0765,5407.4556,5310.8535,5318.9723,62689599851.0,691664063913.0,-1.45689669,33509354340000.0,-0.0145689669
2021-03-25,000985,5318.9723,5294.613,5345.9021,5271.911,5318.0582,55919734730.0,603750373908.0,-0.01718565,33503594950000.0,-0.0001718565
2021-03-26,000985,5318.0582,5337.5655,5437.3562,5337.5655,5425.7543,57139039183.0,680061178032.0,2.02510194,34186466160000.0,0.0202510194
2021-03-29,000985,5425.7543,5440.5298,5470.6432,5403.796,5436.1515,58426800223.0,685098862467.0,0.19162681,34252203000000.0,0.0019162681
2021-03-30,000985,5436.1515,5428.631,5472.2897,5408.7485,5463.4299,58399687778.0,674555427126.0,0.50179617,34424078760000.0,0.0050179617
2021-03-31,000985,5463.4299,5455.4828,5455.4828,5398.0591,5433.6977,54881771068.0,621588253367.0,-0.54420393,34236106650000.0,-0.0054420393
2021-04-01,000985,5433.6977,5442.1027,5492.9972,5433.946,5487.6981,53554978589.0,589870655171.0,0.99380575,34576934210000.0,0.0099380575
2021-04-02,000985,5487.6981,5502.7966,5536.3621,5486.2656,5524.692,53086643388.0,635598423609.0,0.67412418,34809643800000.0,0.0067412418
2021-04-06,000985,5524.692,5540.722,5544.5942,5510.7009,5527.4872,49751383761.0,586854885480.0,0.05059468,34827255500000.0,0.0005059468
2021-04-07,000985,5527.4872,5531.1237,5531.1237,5464.8965,5509.2748,60057775018.0,657232233504.0,-0.32948787,34712791900000.0,-0.0032948787
2021-04-08,000985,5509.2748,5488.2558,5530.574,5470.1468,5509.0241,65091745252.0,669798899787.0,-0.00455051,34713431760000.0,-4.55051e-05
2021-04-09,000985,5509.0241,5499.2129,5500.9934,5440.9792,5457.5934,56306900037.0,615361158620.0,-0.93357188,34392245220000.0,-0.0093357188
2021-04-12,000985,5457.5934,5452.4364,5467.989,5349.7119,5365.0545,61822025518.0,694978401685.0,-1.69559902,33815148960000.0,-0.0169559902
2021-04-13,000985,5365.0545,5361.2182,5402.1343,5336.1494,5350.8719,55828020519.0,599322476749.0,-0.26435146,33725758230000.0,-0.0026435146
2021-04-14,000985,5350.8719,5354.1426,5413.5616,5354.1426,5408.4332,52005700677.0,583457803140.0,1.07573683,34088653690000.0,0.0107573683
2021-04-15,000985,5408.4332,5395.6668,5395.6668,5337.4981,5382.6199,52175368533.0,581179321838.0,-0.47727871,33925752400000.0,-0.0047727871
2021-04-16,000985,5382.6199,5395.108,5431.0402,5366.5236,5420.676,56368940203.0,617484731649.0,0.70701816,34166285420000.0,0.007070181599999999
2021-04-19,000985,5420.676,5419.5705,5535.0371,5401.4215,5533.776,63814783695.0,774860044879.0,2.08645564,34879563130000.0,0.0208645564
2021-04-20,000985,5533.776,5515.492,5566.3598,5507.6864,5526.5316,60734576012.0,748633565695.0,-0.13091242,34834202140000.0,-0.0013091242000000001
2021-04-21,000985,5526.5316,5496.261,5543.9289,5485.0298,5532.139,54019557282.0,656860558800.0,0.10146328,34870069520000.0,0.0010146328
2021-04-22,000985,5532.139,5549.8003,5553.5863,5514.9712,5536.2794,52909288666.0,658233460167.0,0.07484266,34896025190000.0,0.0007484266
2021-04-23,000985,5536.2794,5534.1524,5573.3358,5525.1906,5560.1726,54135945853.0,693900979197.0,0.43157504,35046628140000.0,0.0043157504
2021-04-26,000985,5560.1726,5578.8715,5610.5664,5508.4093,5512.8362,60065859277.0,815058551639.0,-0.85134767,34749065170000.0,-0.0085134767
2021-04-27,000985,5512.8362,5509.3375,5516.6727,5465.2127,5515.4807,53611659471.0,679641602257.0,0.04796986,34765556170000.0,0.0004796986
2021-04-28,000985,5515.4807,5501.718,5548.4915,5486.1736,5548.4915,52054092162.0,707231624040.0,0.59851175,34974412410000.0,0.0059851175000000005
2021-04-29,000985,5548.4915,5551.834,5581.2953,5534.9462,5572.6645,55667979523.0,739486062188.0,0.43566796,35127371580000.0,0.0043566796
2021-04-30,000985,5572.6645,5560.6334,5573.5321,5510.7016,5544.2558,59650424724.0,782484649425.0,-0.50978666,34950776790000.0,-0.0050978666
2021-05-06,000985,5544.2558,5531.77,5563.0699,5475.6056,5510.0088,60924933810.0,798136746051.0,-0.61770238,34736060130000.0,-0.0061770238
2021-05-07,000985,5510.0088,5520.8439,5533.8011,5445.0913,5445.0913,68134430780.0,804024660248.0,-1.17817416,34325370270000.0,-0.0117817416
