TradingDay,idx_000905_SH__index_code,idx_000905_SH__prev_close,idx_000905_SH__open_price,idx_000905_SH__high_price,idx_000905_SH__low_price,idx_000905_SH__close_price,idx_000905_SH__turnover_volume,idx_000905_SH__turnover_value,idx_000905_SH__change_pct,idx_000905_SH__negotiable_mv,idx_000905_SH__index_return,idx_000922_SH__index_code,idx_000922_SH__prev_close,idx_000922_SH__open_price,idx_000922_SH__high_price,idx_000922_SH__low_price,idx_000922_SH__close_price,idx_000922_SH__turnover_volume,idx_000922_SH__turnover_value,idx_000922_SH__change_pct,idx_000922_SH__negotiable_mv,idx_000922_SH__index_return,idx_000985__index_code,idx_000985__prev_close,idx_000985__open_price,idx_000985__high_price,idx_000985__low_price,idx_000985__close_price,idx_000985__turnover_volume,idx_000985__turnover_value,idx_000985__change_pct,idx_000985__negotiable_mv,idx_000985__index_return,fund_512510__fund_code,fund_512510__prev_close,fund_512510__open_price,fund_512510__high_price,fund_512510__low_price,fund_512510__close_price,fund_512510__avg_price,fund_512510__change_of_price,fund_512510__change_pct,fund_512510__turnover_rate,fund_512510__turnover_volume,fund_512510__turnover_value,fund_512510__vibration_range,fund_512510__discount,fund_512510__discount_ratio,fund_512510__fund_return,fund_515180__fund_code,fund_515180__prev_close,fund_515180__open_price,fund_515180__high_price,fund_515180__low_price,fund_515180__close_price,fund_515180__avg_price,fund_515180__change_of_price,fund_515180__change_pct,fund_515180__turnover_rate,fund_515180__turnover_volume,fund_515180__turnover_value,fund_515180__vibration_range,fund_515180__discount,fund_515180__discount_ratio,fund_515180__fund_return
2020-12-28,000905.SH,6278.4981,6283.7821,6288.2442,6219.091,6244.4818,14896021400.0,160495558567.3,-0.5417904,5532529810000.0,-0.005417904,000922.SH,4612.8617,4617.3598,4619.9556,4570.9253,4582.1406,3291517982.0,37617174999.0,-0.66598788,109433100000.0,-0.0066598787999999,985,5485.7165,5487.7391,5511.6929,5460.2816,5483.8079,65401321553.0,816108475482.0,-0.03479217,34549472560000.0,-0.0003479216999999,512510,1.5,1.501,1.504,1.486,1.491,1.4928,-0.009,-0.6,2.2336,818.4597,12217724.0,1.2,0.0027,0.180759,-0.006,515180,1.108,1.109,1.109,1.096,1.1,1.0999,-0.008,-0.722,1.4704,1856.6,20421612.0,1.1733,0.0005,0.045434,-0.00722
2020-12-29,000905.SH,6244.4818,6240.7355,6280.0396,6196.4147,6199.8523,15447603200.0,155674658940.1,-0.71470302,5492988650000.0,-0.0071470302,000922.SH,4582.1406,4583.3824,4592.6885,4540.313,4543.6309,3010338333.0,34706593228.0,-0.84043034,108513390000.0,-0.0084043034,985,5483.8079,5486.5689,5501.6216,5449.0595,5454.4269,64656312788.0,796218865393.0,-0.53577734,34364305030000.0,-0.0053577734,512510,1.491,1.495,1.502,1.482,1.485,1.4906,-0.006,-0.4024,2.1446,790.14,11777893.0,1.3414,-0.0017,-0.114609,-0.004024,515180,1.1,1.101,1.103,1.09,1.092,1.0955,-0.008,-0.7273,0.7391,934.67,10238992.0,1.1818,-0.0011,-0.100834,-0.0072729999999999
2020-12-30,000905.SH,6199.8523,6196.4505,6289.2704,6188.5931,6269.2484,13804167300.0,148227835332.6,1.1193186,5554472700000.0,0.0111931859999999,000922.SH,4543.6309,4542.7646,4580.6351,4534.0278,4562.0025,3110679602.0,33425021176.0,0.40433742,108952150000.0,0.0040433742,985,5454.4269,5451.1765,5525.3526,5450.291,5524.2397,60780824570.0,779124377430.0,1.27992915,34804200240000.0,0.0127992915,512510,1.485,1.479,1.502,1.479,1.497,1.4914,0.012,0.8081,2.4142,894.2818,13337626.0,1.5488,0.0042,0.279776,0.008081,515180,1.092,1.092,1.098,1.088,1.094,1.0933,0.002,0.1832,0.5201,658.78,7202759.0,0.9158,0.0014,0.127807,0.001832
2020-12-31,000905.SH,6269.2484,6282.9576,6370.5695,6281.0138,6367.1149,16019408600.0,174289318594.1,1.56105635,5641181190000.0,0.0156105635,000922.SH,4562.0025,4562.3269,4599.761,4562.1471,4595.5919,3689882901.0,39501892393.0,0.73628631,109754350000.0,0.0073628631,985,5524.2397,5533.774,5623.7745,5533.774,5621.7288,66855248296.0,887968757282.0,1.76475145,35418307710000.0,0.0176475145,512510,1.497,1.494,1.524,1.494,1.521,1.5147,0.024,1.6032,4.9836,1786.2701,27056012.0,2.004,0.0044,0.288449,0.016032,515180,1.094,1.095,1.103,1.095,1.103,1.0992,0.009,0.8227,0.769,973.32,10698803.0,0.7313,0.0004,0.036252,0.008227
2021-01-04,000905.SH,6367.1149,6395.6118,6501.5892,6359.0797,6482.7868,18662120900.0,211126911334.4,1.81670822,5743664990000.0,0.0181670822,000922.SH,4595.5919,4595.0693,4620.8785,4571.4549,4611.3054,4831815090.0,55840142869.0,0.34192549,110129630000.0,0.0034192549,985,5621.7288,5632.8679,5725.8606,5613.4157,5712.1841,77936499107.0,1087433866437.0,1.60902995,35987743800000.0,0.0160902995,512510,1.521,1.523,1.554,1.521,1.552,1.5386,0.031,2.0381,3.8838,1368.7652,21059219.0,2.1696,0.0009,0.057956,0.020381,515180,1.103,1.103,1.108,1.097,1.108,1.1035,0.005,0.4533,1.1563,1459.94,16110705.0,0.9973,-0.0008,-0.072254,0.004533
2021-01-05,000905.SH,6482.7868,6470.2503,6539.7315,6452.5245,6539.7315,19672629200.0,227033005056.2,0.87839847,5793966670000.0,0.0087839847,000922.SH,4611.3054,4602.0117,4622.8843,4561.4464,4621.5191,4900497573.0,57153149027.0,0.2214926,110373550000.0,0.002214926,985,5712.1841,5691.3423,5780.6687,5678.2142,5780.6687,82755477818.0,1179998358325.0,1.19892144,36418901720000.0,0.0119892143999999,512510,1.552,1.557,1.562,1.54,1.562,1.5535,0.01,0.6443,3.7514,1307.0973,20305219.0,1.4175,0.0041,0.261797,0.006443,515180,1.108,1.107,1.108,1.094,1.108,1.0992,0.0,0.0,1.4092,1769.4649,19450725.0,1.2635,0.0017,0.153195,0.0
2021-01-06,000905.SH,6539.7315,6549.731,6569.199,6472.7446,6528.1425,17852108600.0,209333367288.0,-0.17720911,5783699230000.0,-0.0017720911,000922.SH,4621.5191,4631.6493,4646.6673,4596.9695,4632.2019,4428395154.0,52785173292.0,0.23115343,110628690000.0,0.0023115342999999,985,5780.6687,5793.436,5818.7864,5726.489,5791.312,76429619446.0,1088151171987.0,0.18411884,36485955710000.0,0.0018411884,512510,1.562,1.562,1.57,1.55,1.562,1.5615,0.0,0.0,2.7315,946.2687,14775519.0,1.2804,0.0013,0.083157,0.0,515180,1.108,1.107,1.114,1.102,1.112,1.1073,0.004,0.361,0.8405,1046.1653,11584680.0,1.083,0.0002,0.017982,0.00361
2021-01-07,000905.SH,6528.1425,6523.6756,6567.2727,6467.4371,6538.1162,19713564100.0,219238806494.6,0.15278006,5792535540000.0,0.0015278006,000922.SH,4632.2019,4639.7937,4641.6781,4566.6354,4600.7744,4900524912.0,55320430181.0,-0.67845704,109878120000.0,-0.0067845703999999,985,5791.312,5791.3952,5819.752,5739.873,5819.752,83401709348.0,1131347286970.0,0.49108043,36664879450000.0,0.0049108043,512510,1.562,1.562,1.57,1.548,1.561,1.5586,-0.001,-0.064,2.7757,950.4686,14814390.0,1.4085,0.0051,0.32565,-0.00064,515180,1.112,1.111,1.113,1.096,1.104,1.1051,-0.008,-0.7194,0.9444,1166.9664,12896653.0,1.5288,0.0011,0.099539,-0.007194
2021-01-08,000905.SH,6538.1162,6541.5576,6598.3812,6484.3979,6557.5964,18083742900.0,207113827943.6,0.29794821,5809794320000.0,0.0029794821,000922.SH,4600.7744,4598.9729,4631.9964,4560.623,4614.1771,4725822103.0,55707796787.0,0.291314,110198210000.0,0.00291314,985,5819.752,5826.0093,5841.296,5756.6187,5804.6007,72976553439.0,1062807665812.0,-0.26034271,36562628410000.0,-0.0026034270999999,512510,1.561,1.561,1.578,1.552,1.57,1.564,0.009,0.5766,3.4138,1175.8265,18389775.0,1.6656,0.0006,0.038202,0.005766,515180,1.104,1.104,1.111,1.095,1.108,1.1042,0.004,0.3623,0.8112,995.91,10996807.0,1.4493,0.0002,0.018047,0.003623
2021-01-11,000905.SH,6557.5964,6557.4528,6572.8538,6419.731,6455.3987,18325727100.0,217940399022.5,-1.55846279,5725084950000.0,-0.0155846279,000922.SH,4614.1771,4610.1733,4622.9276,4553.5703,4562.9926,5590397428.0,65575141901.0,-1.10928772,109627860000.0,-0.0110928772,985,5804.6007,5810.5267,5839.1229,5697.8504,5726.6583,76643277596.0,1133779493236.0,-1.34276937,36089883200000.0,-0.0134276937,512510,1.57,1.57,1.57,1.537,1.544,1.5567,-0.026,-1.6561,3.0048,1022.9163,15923504.0,2.1019,0.0022,0.142284,-0.016561,515180,1.108,1.108,1.109,1.093,1.096,1.1022,-0.012,-1.083,1.1605,1418.8756,15638939.0,1.444,-0.0003,-0.02738,-0.01083
