trade_date,exchange,is_open
1990-12-19,XSHG,1
1990-12-20,XSHG,1
1990-12-21,XSHG,1
1990-12-22,XSHG,0
1990-12-23,XSHG,0
1990-12-24,XSHG,1
1990-12-25,XSHG,1
1990-12-26,XSHG,1
1990-12-27,XSHG,1
1990-12-28,XSHG,1
1990-12-29,XSHG,0
1990-12-30,XSHG,0
1990-12-31,XSHG,1
1991-01-01,XSHG,0
1991-01-02,XSHG,1
1991-01-03,XSHG,1
1991-01-04,XSHG,1
1991-01-05,XSHG,0
1991-01-06,XSHG,0
1991-01-07,XSHG,1
1991-01-08,XSHG,1
1991-01-09,XSHG,1
1991-01-10,XSHG,1
1991-01-11,XSHG,1
1991-01-12,XSHG,0
1991-01-13,XSHG,0
1991-01-14,XSHG,1
1991-01-15,XSHG,1
1991-01-16,XSHG,1
1991-01-17,XSHG,1
1991-01-18,XSHG,1
1991-01-19,XSHG,0
1991-01-20,XSHG,0
1991-01-21,XSHG,1
1991-01-22,XSHG,1
1991-01-23,XSHG,1
1991-01-24,XSHG,1
1991-01-25,XSHG,1
1991-01-26,XSHG,0
1991-01-27,XSHG,0
1991-01-28,XSHG,1
1991-01-29,XSHG,1
1991-01-30,XSHG,1
1991-01-31,XSHG,1
1991-02-01,XSHG,1
1991-02-02,XSHG,0
1991-02-03,XSHG,0
1991-02-04,XSHG,1
1991-02-05,XSHG,1
1991-02-06,XSHG,1
1991-02-07,XSHG,1
1991-02-08,XSHG,1
1991-02-09,XSHG,0
1991-02-10,XSHG,0
1991-02-11,XSHG,1
1991-02-12,XSHG,1
1991-02-13,XSHG,1
1991-02-14,XSHG,1
1991-02-15,XSHG,0
1991-02-16,XSHG,0
1991-02-17,XSHG,0
1991-02-18,XSHG,0
1991-02-19,XSHG,1
1991-02-20,XSHG,1
1991-02-21,XSHG,1
1991-02-22,XSHG,1
1991-02-23,XSHG,0
1991-02-24,XSHG,0
1991-02-25,XSHG,1
1991-02-26,XSHG,1
1991-02-27,XSHG,1
1991-02-28,XSHG,1
1991-03-01,XSHG,1
1991-03-02,XSHG,0
1991-03-03,XSHG,0
1991-03-04,XSHG,1
1991-03-05,XSHG,1
1991-03-06,XSHG,1
1991-03-07,XSHG,1
1991-03-08,XSHG,1
1991-03-09,XSHG,0
1991-03-10,XSHG,0
1991-03-11,XSHG,1
1991-03-12,XSHG,1
1991-03-13,XSHG,1
1991-03-14,XSHG,1
1991-03-15,XSHG,1
1991-03-16,XSHG,0
1991-03-17,XSHG,0
1991-03-18,XSHG,1
1991-03-19,XSHG,1
1991-03-20,XSHG,1
1991-03-21,XSHG,1
1991-03-22,XSHG,1
1991-03-23,XSHG,0
1991-03-24,XSHG,0
1991-03-25,XSHG,1
1991-03-26,XSHG,1
1991-03-27,XSHG,1
1991-03-28,XSHG,1
1991-03-29,XSHG,1
1991-03-30,XSHG,0
1991-03-31,XSHG,0
1991-04-01,XSHG,1
1991-04-02,XSHG,1
1991-04-03,XSHG,1
1991-04-04,XSHG,1
1991-04-05,XSHG,1
1991-04-06,XSHG,0
1991-04-07,XSHG,0
1991-04-08,XSHG,1
1991-04-09,XSHG,1
1991-04-10,XSHG,1
1991-04-11,XSHG,1
1991-04-12,XSHG,1
1991-04-13,XSHG,0
1991-04-14,XSHG,0
1991-04-15,XSHG,1
1991-04-16,XSHG,1
1991-04-17,XSHG,1
1991-04-18,XSHG,1
1991-04-19,XSHG,1
1991-04-20,XSHG,0
1991-04-21,XSHG,0
1991-04-22,XSHG,1
1991-04-23,XSHG,1
1991-04-24,XSHG,1
1991-04-25,XSHG,1
1991-04-26,XSHG,1
1991-04-27,XSHG,0
1991-04-28,XSHG,0
1991-04-29,XSHG,1
1991-04-30,XSHG,1
1991-05-01,XSHG,0
1991-05-02,XSHG,1
1991-05-03,XSHG,1
1991-05-04,XSHG,0
1991-05-05,XSHG,0
1991-05-06,XSHG,1
