TradingDay,index_code1,prev_close1,open_price1,high_price1,low_price1,close_price1,turnover_volume1,turnover_value1,change_pct1,negotiable_mv1,index_return1,index_code2,prev_close2,open_price2,high_price2,low_price2,close_price2,turnover_volume2,turnover_value2,change_pct2,negotiable_mv2,index_return2,index_code3,prev_close3,open_price3,high_price3,low_price3,close_price3,turnover_volume3,turnover_value3,change_pct3,negotiable_mv3,index_return3,fund_code4,prev_close4,open_price4,high_price4,low_price4,close_price4,avg_price4,change_of_price4,change_pct4,turnover_rate4,turnover_volume4,turnover_value4,vibration_range4,discount4,discount_ratio4,fund_return4,fund_code5,prev_close5,open_price5,high_price5,low_price5,close_price5,avg_price5,change_of_price5,change_pct5,turnover_rate5,turnover_volume5,turnover_value5,vibration_range5,discount5,discount_ratio5,fund_return5
2023/1/3,000905.SH,5864.4669,5861.5504,5964.8185,5848.1461,5955.8969,9955783700,1.19E+11,1.55905049,6.46E+12,0.015590505,000922.SH,4925.8579,4925.9635,4961.9449,4914.431,4957.7815,3336496370,27865570675,0.64808203,2.14E+11,0.00648082,985,4756.6236,4753.3434,4821.743,4733.1423,4815.9173,63861261916,7.50E+11,1.24655018,3.82E+13,0.012465502,512510,1.55,1.549,1.577,1.545,1.573,1.5686,0.023,1.4839,2.2549,754.09,11828767,2.0645,0.0028,0.177688,0.014839,515180,1.215,1.214,1.223,1.212,1.223,1.2196,0.008,0.6584,2.3003,2957.41,36069898,0.9053,0.0008,0.06537,0.006584
2023/1/4,000905.SH,5955.8969,5952.5062,5970.5758,5922.8646,5952.4538,9716044100,1.14E+11,-0.05780993,6.46E+12,-0.000578099,000922.SH,4957.7815,4957.7888,5012.8184,4945.9862,4996.9112,3972952511,33240590830,0.78925826,2.15E+11,0.007892583,985,4815.9173,4814.7431,4834.2263,4796.9555,4821.47,64784308569,7.46E+11,0.11529891,3.82E+13,0.001152989,512510,1.573,1.573,1.58,1.564,1.571,1.5709,-0.002,-0.1271,2.3676,791.8,12438628,1.0172,0.0038,0.2413,-0.001271,515180,1.223,1.223,1.236,1.219,1.232,1.2304,0.009,0.7359,2.1549,2774.71,34141170,1.39,0.0014,0.113507,0.007359
2023/1/5,000905.SH,5952.4538,5959.4378,6017.3406,5950.0896,6010.4641,9662997900,1.17E+11,0.97456111,6.52E+12,0.009745611,000922.SH,4996.9112,5004.5537,5017.8176,4992.16,5010.5086,3175075492,26990465577,0.2721161,2.16E+11,0.002721161,985,4821.47,4836.4696,4892.7519,4831.6749,4887.5353,62998111840,8.04E+11,1.37023149,3.87E+13,0.013702315,512510,1.571,1.571,1.592,1.571,1.589,1.5871,0.018,1.1458,2.2007,735.97,11680234,1.3367,0.001,0.062893,0.011458,515180,1.232,1.232,1.238,1.231,1.235,1.2341,0.003,0.2435,4.5099,5689.84,70215957,0.5682,0.0018,0.145537,0.002435
2023/1/6,000905.SH,6010.4641,6004.1731,6050.8874,5998.8349,6012.8152,9924487700,1.22E+11,0.03911678,6.53E+12,0.000391168,000922.SH,5010.5086,5013.5504,5019.3212,4988.9742,5000.1082,2988426558,24821685853,-0.20757174,2.16E+11,-0.002075717,985,4887.5353,4886.2906,4921.9712,4883.8579,4895.2398,62780093469,8.00E+11,0.15763569,3.88E+13,0.001576357,512510,1.589,1.589,1.598,1.585,1.588,1.5903,-0.001,-0.0629,2.4516,819.88,13038395,0.8181,0.0026,0.16346,-0.000629,515180,1.235,1.236,1.238,1.229,1.232,1.2332,-0.003,-0.2429,2.3826,2996.4,36951528,0.7287,0.0022,0.178253,-0.002429
2023/1/9,000905.SH,6012.8152,6028.399,6070.1614,6023.6388,6040.0193,10069682900,1.25E+11,0.45243533,6.55E+12,0.004524353,000922.SH,5000.1082,5012.4186,5016.6553,4986.0728,4997.3119,3063680989,26153572247,-0.05592479,2.15E+11,-0.000559248,985,4895.2398,4913.2835,4941.6547,4911.9694,4928.5042,58749643953,7.73E+11,0.67952544,3.91E+13,0.006795254,512510,1.588,1.592,1.605,1.592,1.593,1.5976,0.005,0.3149,2.5901,866.22,13838820,0.8186,0.0046,0.287932,0.003149,515180,1.232,1.234,1.237,1.229,1.233,1.2323,0.001,0.0812,2.5416,3178.57,39169257,0.6494,0.0005,0.040535,0.000812
2023/1/10,000905.SH,6040.0193,6044.641,6053.5849,6017.1524,6048.2968,9639335100,1.14E+11,0.13704426,6.56E+12,0.001370443,000922.SH,4997.3119,4996.6556,4996.6556,4966.1458,4968.9988,2862736752,24065045719,-0.5665666,2.14E+11,-0.005665666,985,4928.5042,4931.5333,4941.3017,4912.8066,4932.2028,54384870460,7.14E+11,0.07504508,3.91E+13,0.000750451,512510,1.593,1.593,1.599,1.589,1.596,1.5957,0.003,0.1883,2.2881,765.2072,12210776,0.6277,0.0038,0.23753,0.001883,515180,1.233,1.229,1.232,1.224,1.225,1.2258,-0.008,-0.6488,3.3188,4107.4653,50350626,0.6488,0.0015,0.122299,-0.006488
2023/1/11,000905.SH,6048.2968,6049.0393,6070.4478,6004.2194,6014.1565,9440638900,1.13E+11,-0.56446139,6.53E+12,-0.005644614,000922.SH,4968.9988,4972.8098,5014.8169,4968.0471,4995.8475,2927904956,28697313203,0.54032414,2.15E+11,0.005403241,985,4932.2028,4934.7189,4955.3703,4905.3841,4909.2211,55254072780,7.07E+11,-0.46595205,3.89E+13,-0.004659521,512510,1.596,1.596,1.603,1.587,1.591,1.5939,-0.005,-0.3133,2.6292,879.27,14014552,1.0025,-0.0002,-0.012572,-0.003133,515180,1.225,1.224,1.236,1.224,1.231,1.2312,0.006,0.4898,2.301,2838.57,34949604,0.9796,0.0021,0.170302,0.004898
2023/1/12,000905.SH,6014.1565,6022.561,6048.1893,5995.9111,6015.2871,9290012400,1.05E+11,0.01879898,6.53E+12,0.00018799,000922.SH,4995.8475,4991.519,4991.519,4958.3843,4976.5391,2509179179,21813111414,-0.38648898,2.15E+11,-0.00386489,985,4909.2211,4919.207,4934.9394,4899.321,4914.2045,52595027169,6.52E+11,0.10151101,3.89E+13,0.00101511,512510,1.591,1.59,1.599,1.582,1.59,1.5894,-0.001,-0.0629,2.4211,809.69,12869091,1.0685,0.0011,0.069135,-0.000629,515180,1.231,1.231,1.231,1.222,1.228,1.2253,-0.003,-0.2437,2.3336,2860.09,35045280,0.7311,0.0003,0.024424,-0.002437
2023/1/13,000905.SH,6015.2871,6030.93,6058.2249,6015.218,6057.6902,9002502000,1.02E+11,0.7049223,6.57E+12,0.007049223,000922.SH,4976.5391,4980.2143,5019.2458,4977.0811,5019.2458,2648998050,22772044740,0.85816064,2.16E+11,0.008581606,985,4914.2045,4928.8651,4959.1449,4921.2896,4959.1444,52128868468,6.71E+11,0.91448982,3.93E+13,0.009144898,512510,1.59,1.59,1.604,1.59,1.604,1.595,0.014,0.8805,2.0979,701.61,11190908,0.8805,-0.0017,-0.106097,0.008805,515180,1.228,1.227,1.237,1.227,1.236,1.2331,0.008,0.6515,1.4475,1774.07,21876537,0.8143,0.0028,0.226025,0.006515
2023/1/16,000905.SH,6057.6902,6068.9115,6168.7448,6068.14,6126.1772,12961973000,1.47E+11,1.13057944,6.65E+12,0.011305794,000922.SH,5019.2458,5029.8165,5062.0235,5017.5946,5038.5611,3998588881,32941169930,0.38482475,2.17E+11,0.003848248,985,4959.1444,4963.8198,5059.3396,4963.8198,5023.4292,66439318872,8.76E+11,1.29628813,3.98E+13,0.012962881,512510,1.604,1.604,1.631,1.604,1.617,1.6231,0.013,0.8105,2.2547,754.03,12238447,1.6833,0.0034,0.209825,0.008105,515180,1.236,1.237,1.248,1.237,1.242,1.2431,0.006,0.4854,2.623,3185.9596,39606078,0.89,0.0016,0.128659,0.004854
2023/1/17,000905.SH,6126.1772,6129.7345,6138.1742,6107.7606,6132.6391,9592169900,1.09E+11,0.10548014,6.66E+12,0.001054801,000922.SH,5038.5611,5044.0479,5044.0479,5016.8,5030.9612,2528236210,21712978076,-0.15083473,2.17E+11,-0.001508347,985,5023.4292,5026.4739,5035.6913,5001.2313,5022.0493,52545497801,6.71E+11,-0.02746928,3.98E+13,-0.000274693,512510,1.617,1.617,1.623,1.615,1.62,1.6194,0.003,0.1855,1.9151,640.45,10371210,0.4947,0.0022,0.135618,0.001855,515180,1.242,1.242,1.248,1.237,1.241,1.2394,-0.001,-0.0805,1.4416,1751.02,21702547,0.8857,0.0007,0.056374,-0.000805
