TradingDay,fund_code,prev_close,open_price,high_price,low_price,close_price,avg_price,change_of_price,change_pct,turnover_rate,turnover_volume,turnover_value,vibration_range,discount,discount_ratio,fund_return
2020-12-28,512510,1.5,1.501,1.504,1.486,1.491,1.4928,-0.009,-0.6,2.2336,818.4597,12217724.0,1.2,0.0027,0.180759,-0.006
2020-12-29,512510,1.491,1.495,1.502,1.482,1.485,1.4906,-0.006,-0.4024,2.1446,790.14,11777893.0,1.3414,-0.0017,-0.114609,-0.004024
2020-12-30,512510,1.485,1.479,1.502,1.479,1.497,1.4914,0.012,0.8081,2.4142,894.2818,13337626.0,1.5488,0.0042,0.279776,0.008081
2020-12-31,512510,1.497,1.494,1.524,1.494,1.521,1.5147,0.024,1.6032,4.9836,1786.2701,27056012.0,2.004,0.0044,0.288449,0.016032
2021-01-04,512510,1.521,1.523,1.554,1.521,1.552,1.5386,0.031,2.0381,3.8838,1368.7652,21059219.0,2.1696,0.0009,0.057956,0.020381
2021-01-05,512510,1.552,1.557,1.562,1.54,1.562,1.5535,0.01,0.6443,3.7514,1307.0973,20305219.0,1.4175,0.0041,0.261797,0.006443
2021-01-06,512510,1.562,1.562,1.57,1.55,1.562,1.5615,0.0,0.0,2.7315,946.2687,14775519.0,1.2804,0.0013,0.083157,0.0
2021-01-07,512510,1.562,1.562,1.57,1.548,1.561,1.5586,-0.001,-0.064,2.7757,950.4686,14814390.0,1.4085,0.0051,0.32565,-0.00064
2021-01-08,512510,1.561,1.561,1.578,1.552,1.57,1.564,0.009,0.5766,3.4138,1175.8265,18389775.0,1.6656,0.0006,0.038202,0.005766
2021-01-11,512510,1.57,1.57,1.57,1.537,1.544,1.5567,-0.026,-1.6561,3.0048,1022.9163,15923504.0,2.1019,0.0022,0.142284,-0.016561
2021-01-12,512510,1.544,1.544,1.566,1.543,1.564,1.5537,0.02,1.2953,1.6853,566.98,8809262.0,1.4896,0.0029,0.185079,0.012953
2021-01-13,512510,1.564,1.572,1.572,1.549,1.555,1.5594,-0.009,-0.5754,1.2607,426.6697,6653455.0,1.4706,0.0012,0.077111,-0.0057540000000000004
2021-01-14,512510,1.555,1.555,1.559,1.534,1.545,1.549,-0.01,-0.6431,1.9053,644.798,9987856.0,1.6077,-0.0017,-0.110154,-0.006431
2021-01-15,512510,1.545,1.545,1.545,1.519,1.536,1.5349,-0.009,-0.5825,1.7199,582.0572,8934243.0,1.6828,0.0022,0.143024,-0.005825
2021-01-18,512510,1.536,1.544,1.565,1.533,1.562,1.5525,0.026,1.6927,1.8907,636.0787,9875180.0,2.0833,-0.0008,-0.051243,0.016927
2021-01-19,512510,1.562,1.574,1.574,1.548,1.55,1.5578,-0.012,-0.7682,1.9514,656.51,10227154.0,1.6645,0.0025,0.161031,-0.007682
2021-01-20,512510,1.55,1.55,1.567,1.548,1.564,1.561,0.014,0.9032,2.2427,750.0099,11707993.0,1.2258,0.0031,0.197818,0.009032
2021-01-21,512510,1.564,1.562,1.595,1.561,1.593,1.5844,0.029,1.8542,3.1551,1048.8421,16618335.0,2.1739,-0.0049,-0.308545,0.018542
2021-01-22,512510,1.593,1.593,1.593,1.575,1.591,1.5843,-0.002,-0.1255,3.0624,1005.7909,15934693.0,1.1299,0.0021,0.131818,-0.001255
2021-01-25,512510,1.591,1.591,1.609,1.582,1.595,1.5945,0.004,0.2514,2.4606,798.2847,12729047.0,1.697,-0.0001,-0.00627,0.002514
2021-01-26,512510,1.595,1.595,1.595,1.566,1.574,1.5738,-0.021,-1.3166,1.7113,558.6272,8791918.0,1.8182,-0.0057,-0.363451,-0.013166
2021-01-27,512510,1.574,1.57,1.575,1.556,1.571,1.5662,-0.003,-0.1906,1.9837,651.51,10203839.0,1.2071,0.0031,0.196938,-0.001906
2021-01-28,512510,1.571,1.556,1.566,1.54,1.545,1.5565,-0.026,-1.655,2.28,753.39,11726335.0,1.655,-0.0047,-0.305135,-0.01655
2021-01-29,512510,1.545,1.551,1.553,1.502,1.525,1.5329,-0.02,-1.2945,3.5117,1174.4072,18003016.0,3.301,-0.0011,-0.072183,-0.012945
2021-02-01,512510,1.525,1.516,1.538,1.516,1.533,1.5267,0.008,0.5246,2.7675,925.5186,14130126.0,1.4426,0.0027,0.175816,0.005246
2021-02-02,512510,1.533,1.532,1.55,1.526,1.55,1.5417,0.017,1.1089,1.8948,626.1072,9652772.0,1.5656,0.0002,0.012902,0.011089
2021-02-03,512510,1.55,1.553,1.556,1.536,1.537,1.5454,-0.013,-0.8387,2.3089,749.06,11575875.0,1.2903,0.0005,0.03252,-0.008387
2021-02-04,512510,1.537,1.536,1.538,1.502,1.521,1.5226,-0.016,-1.041,1.9693,646.7646,9847324.0,2.3422,-0.0006,-0.039463,-0.010409999999999999
2021-02-05,512510,1.521,1.521,1.53,1.499,1.501,1.5172,-0.02,-1.3149,2.5736,855.54,12980352.0,2.0381,-0.0017,-0.113386,-0.013149
2021-02-08,512510,1.501,1.502,1.525,1.497,1.517,1.5128,0.016,1.066,1.4962,497.38,7524324.0,1.8654,0.0027,0.177667,0.010660000000000001
2021-02-09,512510,1.517,1.522,1.553,1.517,1.549,1.5407,0.032,2.1094,1.3104,435.6157,6711546.0,2.3731,0.0038,0.244719,0.021093999999999998
2021-02-10,512510,1.549,1.555,1.574,1.539,1.571,1.5575,0.022,1.4203,2.428,792.5769,12344580.0,2.2595,-0.0014,-0.089195,0.014202999999999999
2021-02-18,512510,1.571,1.586,1.607,1.578,1.592,1.597,0.021,1.3367,1.7257,563.3161,8995909.0,1.846,-0.0011,-0.069143,0.013367
2021-02-19,512510,1.592,1.59,1.611,1.572,1.611,1.5899,0.019,1.1935,2.5076,808.5124,12854515.0,2.4497,0.0014,0.086827,0.011935
2021-02-22,512510,1.611,1.611,1.639,1.601,1.604,1.6219,-0.007,-0.4345,1.8584,599.2057,9718486.0,2.3588,-0.0029,-0.181125,-0.004345
2021-02-23,512510,1.604,1.602,1.609,1.588,1.589,1.5985,-0.015,-0.9352,1.7797,577.3896,9229378.0,1.3092,0.0061,0.382421,-0.009352000000000001
2021-02-24,512510,1.589,1.588,1.602,1.558,1.569,1.5806,-0.02,-1.2587,2.9322,957.1529,15128292.0,2.769,0.0032,0.203536,-0.012587
2021-02-25,512510,1.569,1.573,1.584,1.559,1.565,1.5705,-0.004,-0.2549,1.3727,445.3415,6993981.0,1.5934,-0.0016,-0.102341,-0.002549
2021-02-26,512510,1.565,1.561,1.561,1.526,1.534,1.537,-0.031,-1.9808,1.6905,551.8297,8481614.0,2.2364,-0.0029,-0.189406,-0.019808
2021-03-01,512510,1.534,1.534,1.561,1.534,1.555,1.5501,0.021,1.369,1.2042,393.08,6093074.0,1.7601,0.0056,0.358836,0.01369
2021-03-02,512510,1.555,1.565,1.569,1.537,1.55,1.5548,-0.005,-0.3215,1.2335,402.66,6260414.0,2.0579,-0.0024,-0.155079,-0.003215
2021-03-03,512510,1.55,1.55,1.57,1.548,1.57,1.5556,0.02,1.2903,1.4089,462.73,7198087.0,1.4194,0.0005,0.031837,0.012903
2021-03-04,512510,1.57,1.574,1.574,1.534,1.543,1.5445,-0.027,-1.7197,1.5312,505.94,7814141.0,2.5478,-0.002,-0.129786,-0.017197
2021-03-05,512510,1.543,1.541,1.551,1.521,1.548,1.5352,0.005,0.324,1.2299,406.3997,6239241.0,1.9443,-0.006,-0.389105,0.0032400000000000003
2021-03-08,512510,1.548,1.544,1.562,1.508,1.511,1.5308,-0.037,-2.3902,1.8089,601.33,9205392.0,3.4884,-0.0044,-0.292048,-0.023902
2021-03-09,512510,1.511,1.51,1.517,1.455,1.479,1.4813,-0.032,-2.1178,2.8202,948.8,14054317.0,4.1032,-0.0076,-0.516515,-0.021178
2021-03-10,512510,1.479,1.482,1.491,1.458,1.467,1.4749,-0.012,-0.8114,2.8124,951.8,14037966.0,2.2312,-0.0067,-0.45881,-0.008114
2021-03-11,512510,1.467,1.467,1.498,1.454,1.495,1.4829,0.028,1.9087,2.3708,802.34,11897948.0,2.9993,0.0025,0.166945,0.019087
2021-03-12,512510,1.495,1.496,1.5,1.477,1.499,1.4943,0.004,0.2676,1.1252,376.31,5623051.0,1.5385,0.0008,0.05334,0.002676
2021-03-15,512510,1.499,1.5,1.5,1.473,1.495,1.4867,-0.004,-0.2668,1.1538,385.87,5736689.0,1.8012,-0.0071,-0.477183,-0.002668
2021-03-16,512510,1.495,1.496,1.5,1.477,1.494,1.4848,-0.001,-0.0669,0.7416,249.48,3704317.0,1.5385,-0.0009,-0.060277,-0.000669
2021-03-17,512510,1.494,1.495,1.501,1.475,1.498,1.4918,0.004,0.2677,0.8824,295.11,4402530.0,1.7403,0.0029,0.193217,0.002677
2021-03-18,512510,1.498,1.498,1.518,1.498,1.512,1.5089,0.014,0.9346,0.6073,203.09,3064407.0,1.3351,0.0004,0.026448,0.009346
2021-03-19,512510,1.512,1.503,1.507,1.486,1.498,1.4953,-0.014,-0.9259,0.862,288.2636,4310453.0,1.3889,-0.0014,-0.093545,-0.009259
2021-03-22,512510,1.498,1.498,1.519,1.495,1.516,1.5111,0.018,1.2016,1.1372,382.6,5781552.0,1.6021,0.0046,0.302512,0.012016
2021-03-23,512510,1.516,1.515,1.52,1.491,1.502,1.5022,-0.014,-0.9235,0.9626,323.84,4864831.0,1.9129,-0.0017,-0.113311,-0.009235
