TradingDay,index_code,prev_close,open_price,high_price,low_price,close_price,turnover_volume,turnover_value,negotiable_mv,change_pct,index_return,net_buy_value,buy_value_xl,sell_value_xl,buy_value_l,sell_value_l,buy_value_m,sell_value_m,buy_value_s,sell_value_s,free_float_mktval
2020-12-28,000922.SH,4612.8617,4617.3598,4619.9556,4570.9253,4582.1406,3291517982.0,37617174999.0,109433100000.0,-0.66598788,-0.0066598787999999996,565612030.21,8804976748.63,7451390807.16,5264149065.89,5414579584.24,4023065583.75,4417696855.35,999202125.27,1242114246.58,3000153666081.83
2020-12-29,000922.SH,4582.1406,4583.3824,4592.6885,4540.313,4543.6309,3010338333.0,34706593228.0,108513390000.0,-0.84043034,-0.0084043034,-1522597650.43,7041371992.23,8477368132.91,4658847245.88,4857108956.2,3833042091.88,3791281576.27,1058736466.84,988836781.88,2989054031121.3
2020-12-30,000922.SH,4543.6309,4542.7646,4580.6351,4534.0278,4562.0025,3110679602.0,33425021176.0,108952150000.0,0.40433742,0.0040433742,1183081676.59,8525186611.71,7543520921.16,4548916861.05,4419288040.22,3426271631.45,3396022123.64,803676330.59,762138673.19,3000863778156.65
2020-12-31,000922.SH,4562.0025,4562.3269,4599.761,4562.1471,4595.5919,3689882901.0,39501892393.0,109754350000.0,0.73628631,0.0073628631,1430850233.74,9378185377.79,8581996520.99,5493633630.25,5138966498.63,4503674262.06,4272209772.38,1090878052.43,1042348296.79,3031144026022.27
2021-01-04,000922.SH,4595.5919,4595.0693,4620.8785,4571.4549,4611.3054,4831815090.0,55840142869.0,110129630000.0,0.34192549,0.0034192549,-954973620.79,14047639732.31,15453520328.45,7412587158.25,6957167847.24,4924085096.36,4833357435.22,1058272646.1,1153512642.9,3002250141049.05
2021-01-05,000922.SH,4611.3054,4602.0117,4622.8843,4561.4464,4621.5191,4900497573.0,57153149027.0,110373550000.0,0.2214926,0.0022149260000000003,-3494842452.17,13642695368.69,15821093197.65,7424202640.44,8118352438.35,4779913773.18,5254398042.69,982341514.48,1130152070.27,2986289281397.64
2021-01-06,000922.SH,4621.5191,4631.6493,4646.6673,4596.9695,4632.2019,4428395154.0,52785173292.0,110628690000.0,0.23115343,0.0023115342999999997,3559139535.36,17207195578.37,13249821545.77,6489214635.28,6567788242.03,3799869071.51,4003346380.33,675877136.51,792060718.18,3041056631903.4
2021-01-07,000922.SH,4632.2019,4639.7937,4641.6781,4566.6354,4600.7744,4900524912.0,55320430181.0,109878120000.0,-0.67845704,-0.0067845703999999995,586471194.05,14555160190.46,13382758673.74,7744092085.8,7894665328.17,4734270113.88,5100418326.75,919928308.17,989137175.6,3068501220437.14
2021-01-08,000922.SH,4600.7744,4598.9729,4631.9964,4560.623,4614.1771,4725822103.0,55707796787.0,110198210000.0,0.291314,0.0029131400000000003,2820073575.7,16131663733.65,13561601988.49,7270930882.89,7261210946.89,4854124544.66,4714270146.9,1007216030.75,906778533.97,3101868630486.35
2021-01-11,000922.SH,4614.1771,4610.1733,4622.9276,4553.5703,4562.9926,5590397428.0,65575141901.0,109627860000.0,-1.10928772,-0.0110928772,-1231096561.6,18894636308.46,17964687627.69,7760505877.33,9001266400.06,4573088435.52,5364365464.12,943792057.73,1072799748.77,3117010333175.56
2021-01-12,000922.SH,4562.9926,4551.1434,4600.7916,4548.3095,4600.2092,4394783214.0,50812286514.0,110522000000.0,0.81561824,0.0081561824,792664851.77,13104356188.23,11974713121.25,7053508278.73,7009234141.66,4660869094.39,4938170481.86,983742131.14,1087693095.95,3152451721436.0
2021-01-13,000922.SH,4600.2092,4600.1332,4605.5773,4567.2031,4593.3933,5488024009.0,62113001980.0,110358250000.0,-0.148165,-0.00148165,2661683437.64,18203896558.31,15165778645.02,8319195728.14,8356459750.29,4887807418.5,5116112031.27,976443013.16,1087308853.89,3168865501668.63
2021-01-14,000922.SH,4593.3933,4575.9491,4600.6956,4558.9402,4576.9088,5189499974.0,56013143237.0,109962200000.0,-0.35887412,-0.0035887412000000004,732109934.37,14931830791.57,14877871143.66,7675119598.98,7454880497.82,4731838245.04,4406910712.44,1033837959.45,900854306.75,3158186014556.9
2021-01-15,000922.SH,4576.9088,4582.5659,4614.6443,4571.7239,4603.7158,6212917675.0,68738224680.0,110606250000.0,0.58570099,0.0058570099,995149796.76,22099847998.98,20076639989.77,7331399520.33,8043138689.55,4461294482.04,4836415841.62,974145244.83,915342928.48,3203270616562.92
2021-01-18,000922.SH,4603.7158,4602.6011,4644.2139,4597.6846,4638.6807,4810939604.0,57479618739.0,111446300000.0,0.75949302,0.0075949302,720944567.15,16231429609.5,14925843740.99,7382083206.2,7579085361.64,4549843151.87,4886941741.17,936925694.63,987466251.25,3240124134187.32
2021-01-19,000922.SH,4638.6807,4633.3442,4693.3323,4620.1213,4663.3179,5331453316.0,58931610973.0,112038210000.0,0.53112515,0.0053112515,1738067804.72,17291550722.86,15403939106.7,7522707829.7,7683338599.53,4545473957.2,4593236227.46,975106888.65,916257660.0,3243403320897.42
2021-01-20,000922.SH,4663.3179,4656.4881,4669.5003,4633.8639,4656.5359,4206606292.0,47044642312.0,111875270000.0,-0.14543293,-0.0014543293,-2297097178.82,11215618155.4,12505150428.65,6199079392.87,6715697797.23,4015728230.93,4481915493.02,943346796.36,968106035.48,3213168174745.15
2021-01-21,000922.SH,4656.5359,4655.0971,4693.9246,4643.4441,4676.9502,4180979275.0,48972322559.0,112365740000.0,0.438401,0.00438401,-219194410.3,12095359183.57,12030061286.29,6914068617.22,7039737544.21,4421849407.9,4568814267.6,945286874.59,957145395.48,3228918134985.23
2021-01-22,000922.SH,4676.9502,4669.1208,4669.1208,4611.1962,4626.2076,4156407091.0,48872852767.0,111146620000.0,-1.08495062,-0.010849506200000001,-5326901917.56,10263171231.3,13896304002.16,6348759772.54,7059743470.26,4306065448.71,5095281115.93,854978979.1,1048548760.86,3180191376349.62
2021-01-25,000922.SH,4626.2076,4611.3388,4611.3388,4553.1217,4559.4781,4125724775.0,50153810556.0,109543420000.0,-1.44242338,-0.014424233799999998,-2302231455.44,11565426619.95,12597389411.47,6986051158.68,7453320306.31,4472569252.58,5102700673.36,901742528.12,1074610623.63,3181228798501.58
2021-01-26,000922.SH,4559.4781,4549.5115,4566.711,4520.2528,4530.2734,3311177237.0,39770380953.0,108841760000.0,-0.64052726,-0.0064052726,-700247005.36,8526925822.61,8883401522.12,5841649213.11,6052249424.69,4185075998.94,4362577197.53,981415947.67,937085843.35,3155391178271.38
2021-01-27,000922.SH,4530.2734,4528.1541,4560.9884,4525.7563,4533.9075,3742369715.0,43440102595.0,108929070000.0,0.08021812,0.0008021812000000001,1557455954.66,11354324225.78,9768186781.28,6056930467.47,6020031265.92,4173750803.97,4192231644.36,913773785.64,960873636.64,3184268415747.61
2021-01-28,000922.SH,4533.9075,4503.5393,4507.5779,4461.4724,4469.6817,3580852211.0,41463790442.0,107386020000.0,-1.41656617,-0.0141656617,-2344984834.01,8260732932.46,10020286559.06,6044272404.4,6345369239.79,4277327517.43,4538637921.08,977069959.68,1000093928.05,3139972073805.55
2021-01-29,000922.SH,4469.6817,4483.4135,4490.7891,4398.1468,4431.6174,4126229083.0,47791188423.0,106471510000.0,-0.85161098,-0.0085161098,423907531.32,11806075848.72,11231410680.2,7037539103.17,7169899770.66,4247045885.76,4363332189.6,1016887147.53,918997813.4,3123111393748.75
2021-02-01,000922.SH,4431.6174,4425.1869,4484.5748,4413.9326,4482.1023,4010564486.0,45677613490.0,107684430000.0,1.13919807,0.0113919807,1614590170.79,11655411074.89,9991509692.11,6636493483.79,6513383853.86,4387993144.93,4523900839.91,966204135.9,1002717282.84,3168995222151.99
2021-02-02,000922.SH,4482.1023,4485.9648,4513.852,4481.6894,4512.3273,3931572247.0,49515646551.0,108410600000.0,0.67434873,0.0067434873,347447722.43,12821558902.62,12347507268.42,7024516827.82,6717484029.69,4211925390.43,4513738775.54,873546024.22,1005369349.01,3187063278330.59
2021-02-03,000922.SH,4512.3273,4510.3738,4511.6565,4461.4909,4475.7413,3802421188.0,46265729276.0,107531610000.0,-0.81080111,-0.0081080111,-110356794.04,11519189651.91,10670119401.37,6343640712.07,6649048327.69,4300480817.75,4769968013.2,914375068.48,1098907301.99,3180827254672.76
2021-02-04,000922.SH,4475.7413,4463.4552,4463.4552,4391.59,4431.3025,3973665100.0,47908820565.0,106463940000.0,-0.99288134,-0.0099288134,259798897.76,11737394665.8,11924447068.01,6689113968.78,6461375978.21,4592736204.35,4489370508.74,1065064903.04,949317289.25,3170912844456.42
2021-02-05,000922.SH,4431.3025,4432.598,4474.6922,4429.5442,4447.2495,5859754672.0,59238607595.0,106847080000.0,0.35987162,0.0035987162,4578935434.32,18934158564.52,14114867077.91,7481515758.51,7405303974.21,4560189509.08,4874081727.33,932907691.53,935583309.87,3214226786263.37
2021-02-08,000922.SH,4447.2495,4454.1729,4501.0902,4442.0058,4492.1841,4608310571.0,49949906102.0,107926650000.0,1.0103908,0.010103908,3138748134.52,14380678132.73,11793579749.11,6528132436.61,6245514022.97,4594596918.45,4445929817.69,1040919640.15,920555403.65,3255735591261.61
2021-02-09,000922.SH,4492.1841,4493.907,4551.7572,4484.6613,4548.4678,4343195138.0,50420874868.0,109278890000.0,1.25292505,0.0125292505,1970405904.81,13471402330.12,12268209367.15,7191941095.62,6595927609.87,4589375881.36,4408811420.87,942921088.92,952286093.32,3269412851398.77
2021-02-10,000922.SH,4548.4678,4559.3867,4588.4052,4546.7027,4581.2664,5068833110.0,53140995088.0,110066890000.0,0.72109118,0.007210911800000001,1613177110.61,14853564931.02,13364178303.28,7148179417.32,7004252954.16,4428580606.13,4405549888.28,946761152.47,989927850.61,3284136389268.94
