TradingDay,idx_000905_SH__index_code,idx_000905_SH__prev_close,idx_000905_SH__open_price,idx_000905_SH__high_price,idx_000905_SH__low_price,idx_000905_SH__close_price,idx_000905_SH__turnover_volume,idx_000905_SH__turnover_value,idx_000905_SH__negotiable_mv,idx_000905_SH__change_pct,idx_000905_SH__index_return,idx_000905_SH__net_buy_value,idx_000905_SH__buy_value_xl,idx_000905_SH__sell_value_xl,idx_000905_SH__buy_value_l,idx_000905_SH__sell_value_l,idx_000905_SH__buy_value_m,idx_000905_SH__sell_value_m,idx_000905_SH__buy_value_s,idx_000905_SH__sell_value_s,idx_000905_SH__free_float_mktval,idx_000922_SH__index_code,idx_000922_SH__prev_close,idx_000922_SH__open_price,idx_000922_SH__high_price,idx_000922_SH__low_price,idx_000922_SH__close_price,idx_000922_SH__turnover_volume,idx_000922_SH__turnover_value,idx_000922_SH__negotiable_mv,idx_000922_SH__change_pct,idx_000922_SH__index_return,idx_000922_SH__net_buy_value,idx_000922_SH__buy_value_xl,idx_000922_SH__sell_value_xl,idx_000922_SH__buy_value_l,idx_000922_SH__sell_value_l,idx_000922_SH__buy_value_m,idx_000922_SH__sell_value_m,idx_000922_SH__buy_value_s,idx_000922_SH__sell_value_s,idx_000922_SH__free_float_mktval,idx_000985__index_code,idx_000985__prev_close,idx_000985__open_price,idx_000985__high_price,idx_000985__low_price,idx_000985__close_price,idx_000985__turnover_volume,idx_000985__turnover_value,idx_000985__negotiable_mv,idx_000985__change_pct,idx_000985__index_return,idx_000985__net_buy_value,idx_000985__buy_value_xl,idx_000985__sell_value_xl,idx_000985__buy_value_l,idx_000985__sell_value_l,idx_000985__buy_value_m,idx_000985__sell_value_m,idx_000985__buy_value_s,idx_000985__sell_value_s,idx_000985__free_float_mktval,fund_512510__fund_code,fund_512510__prev_close,fund_512510__open_price,fund_512510__high_price,fund_512510__low_price,fund_512510__close_price,fund_512510__avg_price,fund_512510__change_of_price,fund_512510__change_pct,fund_512510__turnover_rate,fund_512510__turnover_volume,fund_512510__turnover_value,fund_512510__vibration_range,fund_512510__discount,fund_512510__discount_ratio,fund_512510__fund_return,fund_515180__fund_code,fund_515180__prev_close,fund_515180__open_price,fund_515180__high_price,fund_515180__low_price,fund_515180__close_price,fund_515180__avg_price,fund_515180__change_of_price,fund_515180__change_pct,fund_515180__turnover_rate,fund_515180__turnover_volume,fund_515180__turnover_value,fund_515180__vibration_range,fund_515180__discount,fund_515180__discount_ratio,fund_515180__fund_return
2020-12-28,000905.SH,6278.4981,6283.7821,6288.2442,6219.091,6244.4818,14896021400.0,160495558567.3,5532529810000.0,-0.5417904,-0.005417904,-5801387093.98,24148354791.55,25405819932.27,23337549435.43,25280028868.83,23451404531.5,25400011383.55,6409776983.65,7062612651.46,4870356200878.99,000922.SH,4612.8617,4617.3598,4619.9556,4570.9253,4582.1406,3291517982.0,37617174999.0,109433100000.0,-0.66598788,-0.0066598787999999,565612030.21,8804976748.63,7451390807.16,5264149065.89,5414579584.24,4023065583.75,4417696855.35,999202125.27,1242114246.58,3000153666081.83,985,5485.7165,5487.7391,5511.6929,5460.2816,5483.8079,65401321553.0,816108475482.0,34549472560000.0,-0.03479217,-0.0003479216999999,-5763522113.46,149505025449.33,138770252240.23,110655355612.3,116212705790.53,110923534531.39,119493921192.0,34088561554.94,36459120038.66,30696443205801.93,512510,1.5,1.501,1.504,1.486,1.491,1.4928,-0.009,-0.6,2.2336,818.4597,12217724.0,1.2,0.0027,0.180759,-0.006,515180,1.108,1.109,1.109,1.096,1.1,1.0999,-0.008,-0.722,1.4704,1856.6,20421612.0,1.1733,0.0005,0.045434,-0.00722
2020-12-29,000905.SH,6244.4818,6240.7355,6280.0396,6196.4147,6199.8523,15447603200.0,155674658940.1,5492988650000.0,-0.71470302,-0.0071470302,339279112.45,25476479061.93,26415986914.23,22909624026.23,23232891443.69,23012948707.11,22244379472.42,6607917236.99,5774432089.47,4834766030599.26,000922.SH,4582.1406,4583.3824,4592.6885,4540.313,4543.6309,3010338333.0,34706593228.0,108513390000.0,-0.84043034,-0.0084043034,-1522597650.43,7041371992.23,8477368132.91,4658847245.88,4857108956.2,3833042091.88,3791281576.27,1058736466.84,988836781.88,2989054031121.3,985,5483.8079,5486.5689,5501.6216,5449.0595,5454.4269,64656312788.0,796218865393.0,34364305030000.0,-0.53577734,-0.0053577734,-278375551.46,147756283981.95,148211527656.6,109237007237.46,109917788240.11,108021988567.31,108057217283.08,32954965590.76,32062087749.15,30534811120417.45,512510,1.491,1.495,1.502,1.482,1.485,1.4906,-0.006,-0.4024,2.1446,790.14,11777893.0,1.3414,-0.0017,-0.114609,-0.004024,515180,1.1,1.101,1.103,1.09,1.092,1.0955,-0.008,-0.7273,0.7391,934.67,10238992.0,1.1818,-0.0011,-0.100834,-0.0072729999999999
2020-12-30,000905.SH,6199.8523,6196.4505,6289.2704,6188.5931,6269.2484,13804167300.0,148227835332.6,5554472700000.0,1.1193186,0.0111931859999999,10819608123.57,31917300498.61,22724741772.3,22433699230.4,21529231765.34,20179543231.9,19737539611.61,4993178772.79,4712600460.88,4889666708532.68,000922.SH,4543.6309,4542.7646,4580.6351,4534.0278,4562.0025,3110679602.0,33425021176.0,108952150000.0,0.40433742,0.0040433742,1183081676.59,8525186611.71,7543520921.16,4548916861.05,4419288040.22,3426271631.45,3396022123.64,803676330.59,762138673.19,3000863778156.65,985,5454.4269,5451.1765,5525.3526,5450.291,5524.2397,60780824570.0,779124377430.0,34804200240000.0,1.27992915,0.0127992915,44547692530.43,187397754348.16,144473881488.8,105181184011.93,102235709328.07,93339119161.02,94603366505.91,25917977916.24,25975385584.14,30945620864115.52,512510,1.485,1.479,1.502,1.479,1.497,1.4914,0.012,0.8081,2.4142,894.2818,13337626.0,1.5488,0.0042,0.279776,0.008081,515180,1.092,1.092,1.098,1.088,1.094,1.0933,0.002,0.1832,0.5201,658.78,7202759.0,0.9158,0.0014,0.127807,0.001832
2020-12-31,000905.SH,6269.2484,6282.9576,6370.5695,6281.0138,6367.1149,16019408600.0,174289318594.1,5641181190000.0,1.56105635,0.0156105635,9394470633.04,36214284529.61,25734571988.15,25414043597.54,25063374951.99,23992279386.64,24814280540.18,6221287105.22,6835196505.65,4967991164631.91,000922.SH,4562.0025,4562.3269,4599.761,4562.1471,4595.5919,3689882901.0,39501892393.0,109754350000.0,0.73628631,0.0073628631,1430850233.74,9378185377.79,8581996520.99,5493633630.25,5138966498.63,4503674262.06,4272209772.38,1090878052.43,1042348296.79,3031144026022.27,985,5524.2397,5533.774,5623.7745,5533.774,5621.7288,66855248296.0,887968757282.0,35418307710000.0,1.76475145,0.0176475145,54056903117.15,199718562485.23,155368599965.72,122329699858.02,114888693832.61,115157884949.6,112979037983.93,33806683387.24,33719595780.68,31585171927510.63,512510,1.497,1.494,1.524,1.494,1.521,1.5147,0.024,1.6032,4.9836,1786.2701,27056012.0,2.004,0.0044,0.288449,0.016032,515180,1.094,1.095,1.103,1.095,1.103,1.0992,0.009,0.8227,0.769,973.32,10698803.0,0.7313,0.0004,0.036252,0.008227
2021-01-04,000905.SH,6367.1149,6395.6118,6501.5892,6359.0797,6482.7868,18662120900.0,211126911334.4,5743664990000.0,1.81670822,0.0181670822,4552898243.17,42979429157.37,35247937365.26,31669089036.62,30875691150.21,26935424232.19,29447422259.81,6255962368.14,7715955775.87,5063251048893.87,000922.SH,4595.5919,4595.0693,4620.8785,4571.4549,4611.3054,4831815090.0,55840142869.0,110129630000.0,0.34192549,0.0034192549,-954973620.79,14047639732.31,15453520328.45,7412587158.25,6957167847.24,4924085096.36,4833357435.22,1058272646.1,1153512642.9,3002250141049.05,985,5621.7288,5632.8679,5725.8606,5613.4157,5712.1841,77936499107.0,1087433866437.0,35987743800000.0,1.60902995,0.0160902995,49450500605.92,256620132061.12,214061069041.4,148502228606.43,140000005571.91,127853890322.22,128731851347.63,35465933003.75,36198757426.66,32106497765828.75,512510,1.521,1.523,1.554,1.521,1.552,1.5386,0.031,2.0381,3.8838,1368.7652,21059219.0,2.1696,0.0009,0.057956,0.020381,515180,1.103,1.103,1.108,1.097,1.108,1.1035,0.005,0.4533,1.1563,1459.94,16110705.0,0.9973,-0.0008,-0.072254,0.004533
2021-01-05,000905.SH,6482.7868,6470.2503,6539.7315,6452.5245,6539.7315,19672629200.0,227033005056.2,5793966670000.0,0.87839847,0.0087839847,4398225826.91,46408454334.45,40272441345.01,34449206031.78,34306896411.77,28562115707.28,29759075514.5,6295839374.06,6978976349.38,5111099277032.01,000922.SH,4611.3054,4602.0117,4622.8843,4561.4464,4621.5191,4900497573.0,57153149027.0,110373550000.0,0.2214926,0.002214926,-3494842452.17,13642695368.69,15821093197.65,7424202640.44,8118352438.35,4779913773.18,5254398042.69,982341514.48,1130152070.27,2986289281397.64,985,5712.1841,5691.3423,5780.6687,5678.2142,5780.6687,82755477818.0,1179998358325.0,36418901720000.0,1.19892144,0.0119892143999999,18550153480.21,281275084030.22,248228385969.68,155543858363.77,158949994778.89,128130264217.74,136713194791.63,34325049755.6,36832527346.92,32514435548116.08,512510,1.552,1.557,1.562,1.54,1.562,1.5535,0.01,0.6443,3.7514,1307.0973,20305219.0,1.4175,0.0041,0.261797,0.006443,515180,1.108,1.107,1.108,1.094,1.108,1.0992,0.0,0.0,1.4092,1769.4649,19450725.0,1.2635,0.0017,0.153195,0.0
2021-01-06,000905.SH,6539.7315,6549.731,6569.199,6472.7446,6528.1425,17852108600.0,209333367288.0,5783699230000.0,-0.17720911,-0.0017720911,-1343184206.87,46991003301.15,42985345100.49,31121300761.04,33456206182.74,22045629370.17,24311288178.53,3837158113.66,4585436291.13,5104065255894.01,000922.SH,4621.5191,4631.6493,4646.6673,4596.9695,4632.2019,4428395154.0,52785173292.0,110628690000.0,0.23115343,0.0023115342999999,3559139535.36,17207195578.37,13249821545.77,6489214635.28,6567788242.03,3799869071.51,4003346380.33,675877136.51,792060718.18,3041056631903.4,985,5780.6687,5793.436,5818.7864,5726.489,5791.312,76429619446.0,1088151171987.0,36485955710000.0,0.18411884,0.0018411884,-19493070627.57,272115799286.18,262538999985.77,135703569237.52,147821418662.55,102664918184.75,116142004798.99,23844764438.24,27319698326.95,32590934329342.39,512510,1.562,1.562,1.57,1.55,1.562,1.5615,0.0,0.0,2.7315,946.2687,14775519.0,1.2804,0.0013,0.083157,0.0,515180,1.108,1.107,1.114,1.102,1.112,1.1073,0.004,0.361,0.8405,1046.1653,11584680.0,1.083,0.0002,0.017982,0.00361
2021-01-07,000905.SH,6528.1425,6523.6756,6567.2727,6467.4371,6538.1162,19713564100.0,219238806494.6,5792535540000.0,0.15278006,0.0015278006,1783174541.79,42537083403.04,38652760696.73,34325594346.96,35369562575.34,27802117247.11,28912593479.47,5846195526.64,5792899230.42,5113636669340.14,000922.SH,4632.2019,4639.7937,4641.6781,4566.6354,4600.7744,4900524912.0,55320430181.0,109878120000.0,-0.67845704,-0.0067845703999999,586471194.05,14555160190.46,13382758673.74,7744092085.8,7894665328.17,4734270113.88,5100418326.75,919928308.17,989137175.6,3068501220437.14,985,5791.312,5791.3952,5819.752,5739.873,5819.752,83401709348.0,1131347286970.0,36664879450000.0,0.49108043,0.0049108043,869686152.52,263477750946.08,232081158737.97,147399709489.15,157483989396.14,122772661257.09,139194521441.96,32458365360.86,36479131324.59,32749597598545.18,512510,1.562,1.562,1.57,1.548,1.561,1.5586,-0.001,-0.064,2.7757,950.4686,14814390.0,1.4085,0.0051,0.32565,-0.00064,515180,1.112,1.111,1.113,1.096,1.104,1.1051,-0.008,-0.7194,0.9444,1166.9664,12896653.0,1.5288,0.0011,0.099539,-0.007194
2021-01-08,000905.SH,6538.1162,6541.5576,6598.3812,6484.3979,6557.5964,18083742900.0,207113827943.6,5809794320000.0,0.29794821,0.0029794821,5728087341.4,39194799355.27,37747204360.66,32492449568.28,31403963253.08,28093642858.83,26075262296.23,6640065865.89,5466440396.9,5129193690655.04,000922.SH,4600.7744,4598.9729,4631.9964,4560.623,4614.1771,4725822103.0,55707796787.0,110198210000.0,0.291314,0.00291314,2820073575.7,16131663733.65,13561601988.49,7270930882.89,7261210946.89,4854124544.66,4714270146.9,1007216030.75,906778533.97,3101868630486.35,985,5819.752,5826.0093,5841.296,5756.6187,5804.6007,72976553439.0,1062807665812.0,36562628410000.0,-0.26034271,-0.0026034270999999,9664268929.82,248657620480.94,244131198592.54,136611886975.45,134287217136.97,118428564791.52,116677446244.54,32537895595.66,31475836939.7,32664576438933.48,512510,1.561,1.561,1.578,1.552,1.57,1.564,0.009,0.5766,3.4138,1175.8265,18389775.0,1.6656,0.0006,0.038202,0.005766,515180,1.104,1.104,1.111,1.095,1.108,1.1042,0.004,0.3623,0.8112,995.91,10996807.0,1.4493,0.0002,0.018047,0.003623
2021-01-11,000905.SH,6557.5964,6557.4528,6572.8538,6419.731,6455.3987,18325727100.0,217940399022.5,5725084950000.0,-1.55846279,-0.0155846279,-7267523499.58,40477738920.7,41431328774.62,31367341212.62,34723903190.9,27176523453.49,29779184528.25,6314834180.16,6669544772.78,5048835183063.3,000922.SH,4614.1771,4610.1733,4622.9276,4553.5703,4562.9926,5590397428.0,65575141901.0,109627860000.0,-1.10928772,-0.0110928772,-1231096561.6,18894636308.46,17964687627.69,7760505877.33,9001266400.06,4573088435.52,5364365464.12,943792057.73,1072799748.77,3117010333175.56,985,5804.6007,5810.5267,5839.1229,5697.8504,5726.6583,76643277596.0,1133779493236.0,36089883200000.0,-1.34276937,-0.0134276937,-43551524431.14,260899390874.21,268018222631.76,137122492301.86,152241182731.83,114293800050.85,131616232718.92,32798301649.35,36789871224.9,32234791788071.23,512510,1.57,1.57,1.57,1.537,1.544,1.5567,-0.026,-1.6561,3.0048,1022.9163,15923504.0,2.1019,0.0022,0.142284,-0.016561,515180,1.108,1.108,1.109,1.093,1.096,1.1022,-0.012,-1.083,1.1605,1418.8756,15638939.0,1.444,-0.0003,-0.02738,-0.01083
