TradingDay,idx_000905_SH__index_code,idx_000905_SH__prev_close,idx_000905_SH__open_price,idx_000905_SH__high_price,idx_000905_SH__low_price,idx_000905_SH__close_price,idx_000905_SH__turnover_volume,idx_000905_SH__turnover_value,idx_000905_SH__negotiable_mv,idx_000905_SH__change_pct,idx_000905_SH__index_return,idx_000905_SH__net_buy_value,idx_000905_SH__buy_value_xl,idx_000905_SH__sell_value_xl,idx_000905_SH__buy_value_l,idx_000905_SH__sell_value_l,idx_000905_SH__buy_value_m,idx_000905_SH__sell_value_m,idx_000905_SH__buy_value_s,idx_000905_SH__sell_value_s,idx_000905_SH__free_float_mktval,idx_000922_SH__index_code,idx_000922_SH__prev_close,idx_000922_SH__open_price,idx_000922_SH__high_price,idx_000922_SH__low_price,idx_000922_SH__close_price,idx_000922_SH__turnover_volume,idx_000922_SH__turnover_value,idx_000922_SH__negotiable_mv,idx_000922_SH__change_pct,idx_000922_SH__index_return,idx_000922_SH__net_buy_value,idx_000922_SH__buy_value_xl,idx_000922_SH__sell_value_xl,idx_000922_SH__buy_value_l,idx_000922_SH__sell_value_l,idx_000922_SH__buy_value_m,idx_000922_SH__sell_value_m,idx_000922_SH__buy_value_s,idx_000922_SH__sell_value_s,idx_000922_SH__free_float_mktval,idx_000985__index_code,idx_000985__prev_close,idx_000985__open_price,idx_000985__high_price,idx_000985__low_price,idx_000985__close_price,idx_000985__turnover_volume,idx_000985__turnover_value,idx_000985__negotiable_mv,idx_000985__change_pct,idx_000985__index_return,idx_000985__net_buy_value,idx_000985__buy_value_xl,idx_000985__sell_value_xl,idx_000985__buy_value_l,idx_000985__sell_value_l,idx_000985__buy_value_m,idx_000985__sell_value_m,idx_000985__buy_value_s,idx_000985__sell_value_s,idx_000985__free_float_mktval,fund_512510__fund_code,fund_512510__prev_close,fund_512510__open_price,fund_512510__high_price,fund_512510__low_price,fund_512510__close_price,fund_512510__avg_price,fund_512510__change_of_price,fund_512510__change_pct,fund_512510__turnover_rate,fund_512510__turnover_volume,fund_512510__turnover_value,fund_512510__vibration_range,fund_512510__discount,fund_512510__discount_ratio,fund_512510__fund_return,fund_515180__fund_code,fund_515180__prev_close,fund_515180__open_price,fund_515180__high_price,fund_515180__low_price,fund_515180__close_price,fund_515180__avg_price,fund_515180__change_of_price,fund_515180__change_pct,fund_515180__turnover_rate,fund_515180__turnover_volume,fund_515180__turnover_value,fund_515180__vibration_range,fund_515180__discount,fund_515180__discount_ratio,fund_515180__fund_return
2020/12/28,000905.SH,6278.4981,6283.7821,6288.2442,6219.091,6244.4818,14896021400,1.60E+11,5.53E+12,-0.5417904,-0.005417904,-5801387094,24148354792,25405819932,23337549435,25280028869,23451404532,25400011384,6409776984,7062612651,4.87E+12,000922.SH,4612.8617,4617.3598,4619.9556,4570.9253,4582.1406,3291517982,37617174999,1.09E+11,-0.66598788,-0.006659879,565612030.2,8804976749,7451390807,5264149066,5414579584,4023065584,4417696855,999202125.3,1242114247,3.00E+12,985,5485.7165,5487.7391,5511.6929,5460.2816,5483.8079,65401321553,8.16E+11,3.45E+13,-0.03479217,-0.000347922,-5763522113,1.50E+11,1.39E+11,1.11E+11,1.16E+11,1.11E+11,1.19E+11,34088561555,36459120039,3.07E+13,512510,1.5,1.501,1.504,1.486,1.491,1.4928,-0.009,-0.6,2.2336,818.4597,12217724,1.2,0.0027,0.180759,-0.006,515180,1.108,1.109,1.109,1.096,1.1,1.0999,-0.008,-0.722,1.4704,1856.6,20421612,1.1733,0.0005,0.045434,-0.00722
2020/12/29,000905.SH,6244.4818,6240.7355,6280.0396,6196.4147,6199.8523,15447603200,1.56E+11,5.49E+12,-0.71470302,-0.00714703,339279112.5,25476479062,26415986914,22909624026,23232891444,23012948707,22244379472,6607917237,5774432089,4.83E+12,000922.SH,4582.1406,4583.3824,4592.6885,4540.313,4543.6309,3010338333,34706593228,1.09E+11,-0.84043034,-0.008404303,-1522597650,7041371992,8477368133,4658847246,4857108956,3833042092,3791281576,1058736467,988836781.9,2.99E+12,985,5483.8079,5486.5689,5501.6216,5449.0595,5454.4269,64656312788,7.96E+11,3.44E+13,-0.53577734,-0.005357773,-278375551.5,1.48E+11,1.48E+11,1.09E+11,1.10E+11,1.08E+11,1.08E+11,32954965591,32062087749,3.05E+13,512510,1.491,1.495,1.502,1.482,1.485,1.4906,-0.006,-0.4024,2.1446,790.14,11777893,1.3414,-0.0017,-0.114609,-0.004024,515180,1.1,1.101,1.103,1.09,1.092,1.0955,-0.008,-0.7273,0.7391,934.67,10238992,1.1818,-0.0011,-0.100834,-0.007273
2020/12/30,000905.SH,6199.8523,6196.4505,6289.2704,6188.5931,6269.2484,13804167300,1.48E+11,5.55E+12,1.1193186,0.011193186,10819608124,31917300499,22724741772,22433699230,21529231765,20179543232,19737539612,4993178773,4712600461,4.89E+12,000922.SH,4543.6309,4542.7646,4580.6351,4534.0278,4562.0025,3110679602,33425021176,1.09E+11,0.40433742,0.004043374,1183081677,8525186612,7543520921,4548916861,4419288040,3426271631,3396022124,803676330.6,762138673.2,3.00E+12,985,5454.4269,5451.1765,5525.3526,5450.291,5524.2397,60780824570,7.79E+11,3.48E+13,1.27992915,0.012799292,44547692530,1.87E+11,1.44E+11,1.05E+11,1.02E+11,93339119161,94603366506,25917977916,25975385584,3.09E+13,512510,1.485,1.479,1.502,1.479,1.497,1.4914,0.012,0.8081,2.4142,894.2818,13337626,1.5488,0.0042,0.279776,0.008081,515180,1.092,1.092,1.098,1.088,1.094,1.0933,0.002,0.1832,0.5201,658.78,7202759,0.9158,0.0014,0.127807,0.001832
2020/12/31,000905.SH,6269.2484,6282.9576,6370.5695,6281.0138,6367.1149,16019408600,1.74E+11,5.64E+12,1.56105635,0.015610564,9394470633,36214284530,25734571988,25414043598,25063374952,23992279387,24814280540,6221287105,6835196506,4.97E+12,000922.SH,4562.0025,4562.3269,4599.761,4562.1471,4595.5919,3689882901,39501892393,1.10E+11,0.73628631,0.007362863,1430850234,9378185378,8581996521,5493633630,5138966499,4503674262,4272209772,1090878052,1042348297,3.03E+12,985,5524.2397,5533.774,5623.7745,5533.774,5621.7288,66855248296,8.88E+11,3.54E+13,1.76475145,0.017647515,54056903117,2.00E+11,1.55E+11,1.22E+11,1.15E+11,1.15E+11,1.13E+11,33806683387,33719595781,3.16E+13,512510,1.497,1.494,1.524,1.494,1.521,1.5147,0.024,1.6032,4.9836,1786.2701,27056012,2.004,0.0044,0.288449,0.016032,515180,1.094,1.095,1.103,1.095,1.103,1.0992,0.009,0.8227,0.769,973.32,10698803,0.7313,0.0004,0.036252,0.008227
2021/1/4,000905.SH,6367.1149,6395.6118,6501.5892,6359.0797,6482.7868,18662120900,2.11E+11,5.74E+12,1.81670822,0.018167082,4552898243,42979429157,35247937365,31669089037,30875691150,26935424232,29447422260,6255962368,7715955776,5.06E+12,000922.SH,4595.5919,4595.0693,4620.8785,4571.4549,4611.3054,4831815090,55840142869,1.10E+11,0.34192549,0.003419255,-954973620.8,14047639732,15453520328,7412587158,6957167847,4924085096,4833357435,1058272646,1153512643,3.00E+12,985,5621.7288,5632.8679,5725.8606,5613.4157,5712.1841,77936499107,1.09E+12,3.60E+13,1.60902995,0.0160903,49450500606,2.57E+11,2.14E+11,1.49E+11,1.40E+11,1.28E+11,1.29E+11,35465933004,36198757427,3.21E+13,512510,1.521,1.523,1.554,1.521,1.552,1.5386,0.031,2.0381,3.8838,1368.7652,21059219,2.1696,0.0009,0.057956,0.020381,515180,1.103,1.103,1.108,1.097,1.108,1.1035,0.005,0.4533,1.1563,1459.94,16110705,0.9973,-0.0008,-0.072254,0.004533
2021/1/5,000905.SH,6482.7868,6470.2503,6539.7315,6452.5245,6539.7315,19672629200,2.27E+11,5.79E+12,0.87839847,0.008783985,4398225827,46408454334,40272441345,34449206032,34306896412,28562115707,29759075515,6295839374,6978976349,5.11E+12,000922.SH,4611.3054,4602.0117,4622.8843,4561.4464,4621.5191,4900497573,57153149027,1.10E+11,0.2214926,0.002214926,-3494842452,13642695369,15821093198,7424202640,8118352438,4779913773,5254398043,982341514.5,1130152070,2.99E+12,985,5712.1841,5691.3423,5780.6687,5678.2142,5780.6687,82755477818,1.18E+12,3.64E+13,1.19892144,0.011989214,18550153480,2.81E+11,2.48E+11,1.56E+11,1.59E+11,1.28E+11,1.37E+11,34325049756,36832527347,3.25E+13,512510,1.552,1.557,1.562,1.54,1.562,1.5535,0.01,0.6443,3.7514,1307.0973,20305219,1.4175,0.0041,0.261797,0.006443,515180,1.108,1.107,1.108,1.094,1.108,1.0992,0,0,1.4092,1769.4649,19450725,1.2635,0.0017,0.153195,0
2021/1/6,000905.SH,6539.7315,6549.731,6569.199,6472.7446,6528.1425,17852108600,2.09E+11,5.78E+12,-0.17720911,-0.001772091,-1343184207,46991003301,42985345100,31121300761,33456206183,22045629370,24311288179,3837158114,4585436291,5.10E+12,000922.SH,4621.5191,4631.6493,4646.6673,4596.9695,4632.2019,4428395154,52785173292,1.11E+11,0.23115343,0.002311534,3559139535,17207195578,13249821546,6489214635,6567788242,3799869072,4003346380,675877136.5,792060718.2,3.04E+12,985,5780.6687,5793.436,5818.7864,5726.489,5791.312,76429619446,1.09E+12,3.65E+13,0.18411884,0.001841188,-19493070628,2.72E+11,2.63E+11,1.36E+11,1.48E+11,1.03E+11,1.16E+11,23844764438,27319698327,3.26E+13,512510,1.562,1.562,1.57,1.55,1.562,1.5615,0,0,2.7315,946.2687,14775519,1.2804,0.0013,0.083157,0,515180,1.108,1.107,1.114,1.102,1.112,1.1073,0.004,0.361,0.8405,1046.1653,11584680,1.083,0.0002,0.017982,0.00361
2021/1/7,000905.SH,6528.1425,6523.6756,6567.2727,6467.4371,6538.1162,19713564100,2.19E+11,5.79E+12,0.15278006,0.001527801,1783174542,42537083403,38652760697,34325594347,35369562575,27802117247,28912593479,5846195527,5792899230,5.11E+12,000922.SH,4632.2019,4639.7937,4641.6781,4566.6354,4600.7744,4900524912,55320430181,1.10E+11,-0.67845704,-0.00678457,586471194.1,14555160190,13382758674,7744092086,7894665328,4734270114,5100418327,919928308.2,989137175.6,3.07E+12,985,5791.312,5791.3952,5819.752,5739.873,5819.752,83401709348,1.13E+12,3.67E+13,0.49108043,0.004910804,869686152.5,2.63E+11,2.32E+11,1.47E+11,1.57E+11,1.23E+11,1.39E+11,32458365361,36479131325,3.27E+13,512510,1.562,1.562,1.57,1.548,1.561,1.5586,-0.001,-0.064,2.7757,950.4686,14814390,1.4085,0.0051,0.32565,-0.00064,515180,1.112,1.111,1.113,1.096,1.104,1.1051,-0.008,-0.7194,0.9444,1166.9664,12896653,1.5288,0.0011,0.099539,-0.007194
2021/1/8,000905.SH,6538.1162,6541.5576,6598.3812,6484.3979,6557.5964,18083742900,2.07E+11,5.81E+12,0.29794821,0.002979482,5728087341,39194799355,37747204361,32492449568,31403963253,28093642859,26075262296,6640065866,5466440397,5.13E+12,000922.SH,4600.7744,4598.9729,4631.9964,4560.623,4614.1771,4725822103,55707796787,1.10E+11,0.291314,0.00291314,2820073576,16131663734,13561601988,7270930883,7261210947,4854124545,4714270147,1007216031,906778534,3.10E+12,985,5819.752,5826.0093,5841.296,5756.6187,5804.6007,72976553439,1.06E+12,3.66E+13,-0.26034271,-0.002603427,9664268930,2.49E+11,2.44E+11,1.37E+11,1.34E+11,1.18E+11,1.17E+11,32537895596,31475836940,3.27E+13,512510,1.561,1.561,1.578,1.552,1.57,1.564,0.009,0.5766,3.4138,1175.8265,18389775,1.6656,0.0006,0.038202,0.005766,515180,1.104,1.104,1.111,1.095,1.108,1.1042,0.004,0.3623,0.8112,995.91,10996807,1.4493,0.0002,0.018047,0.003623
2021/1/11,000905.SH,6557.5964,6557.4528,6572.8538,6419.731,6455.3987,18325727100,2.18E+11,5.73E+12,-1.55846279,-0.015584628,-7267523500,40477738921,41431328775,31367341213,34723903191,27176523453,29779184528,6314834180,6669544773,5.05E+12,000922.SH,4614.1771,4610.1733,4622.9276,4553.5703,4562.9926,5590397428,65575141901,1.10E+11,-1.10928772,-0.011092877,-1231096562,18894636308,17964687628,7760505877,9001266400,4573088436,5364365464,943792057.7,1072799749,3.12E+12,985,5804.6007,5810.5267,5839.1229,5697.8504,5726.6583,76643277596,1.13E+12,3.61E+13,-1.34276937,-0.013427694,-43551524431,2.61E+11,2.68E+11,1.37E+11,1.52E+11,1.14E+11,1.32E+11,32798301649,36789871225,3.22E+13,512510,1.57,1.57,1.57,1.537,1.544,1.5567,-0.026,-1.6561,3.0048,1022.9163,15923504,2.1019,0.0022,0.142284,-0.016561,515180,1.108,1.108,1.109,1.093,1.096,1.1022,-0.012,-1.083,1.1605,1418.8756,15638939,1.444,-0.0003,-0.02738,-0.01083
